section,category,subsection,group,reportId,reportName,frequency,from,to,kind,verdict,score,dsd,sdmxLabel,downloaded
"Statistics","Corporate Sector","Listed Non-Government Non-Financial Companies","Listed Non-Government Non-Financial Companies","1067","1. Performance of Listed Non-Government Non-Financial Companies","Quarterly","30-JUN-2014","30-JUN-2026","table","covered","1","PRF_LNGNFC_ANN_RN","Performance of Listed Non-Government Non-Financial Companies Annually","yes"
"Statistics","Corporate Sector","Listed Non-Government Non-Financial Companies","Listed Non-Government Non-Financial Companies","1117","2. Performance of Listed Non-Government Non-Financial Companies - Sector - wise","Quarterly","30-JUN-2014","30-JUN-2026","table","covered","1","PRF_LNGNFC_ANN_RN","Performance of Listed Non-Government Non-Financial Companies Annually","yes"
"Statistics","Corporate Sector","Listed Non-Government Non-Financial Companies","Listed Non-Government Non-Financial Companies","1069","3. Performance of Listed Non-Government Non-Financial Companies according to Size of Paid-up-Capital","Quarterly","30-JUN-2014","30-JUN-2026","table","covered","1","PRF_LNGNFC_ANN_RN","Performance of Listed Non-Government Non-Financial Companies Annually","yes"
"Statistics","Corporate Sector","Listed Non-Government Non-Financial Companies","Listed Non-Government Non-Financial Companies","1071","4. Performance of Listed Non-Government Non-Financial Companies according to Size of Sales","Quarterly","30-JUN-2014","30-JUN-2026","table","covered","1","PRF_LNGNFC_ANN_RN","Performance of Listed Non-Government Non-Financial Companies Annually","yes"
"Statistics","Corporate Sector","Listed Non-Government Non-Financial Companies","Listed Non-Government Non-Financial Companies","1072","5. Performance of Listed Non-Government Non-Financial Companies according to Industry","Quarterly","30-JUN-2014","30-JUN-2026","table","covered","1","PRF_LNGNFC_ANN_RN","Performance of Listed Non-Government Non-Financial Companies Annually","yes"
"Statistics","Corporate Sector","Listed Non-Government Non-Financial Companies","Listed Non-Government Non-Financial Companies","1407","6. Explanatory Notes & Glossary","Quarterly","31-MAR-2017","30-JUN-2026","documentation","non-table","0.2","NOT_COIN_RN","Notes & Coin in Circulation",""
"Statistics","Corporate Sector","Listed Non-Government Non-Financial Companies","Listed Non-Government Non-Financial Companies","1075","1.Sources and Uses of Funds for Listed Private Manufacturing Companies (half-yearly) - Discontinued","Half-Yearly","30-SEP-2018","30-SEP-2019","table","covered","0.8","USE_FBD_PVT_RN","Uses of Funds of Private Limited Companies","yes"
"Statistics","Corporate Sector","Listed Non-Government Non-Financial Companies","Listed Non-Government Non-Financial Companies","1074","1. Performance of Listed Non-Government Non-Financial Companies","Annual","31-MAR-2016","31-MAR-2026","table","covered","1","PRF_LNGNFC_ANN_RN","Performance of Listed Non-Government Non-Financial Companies Annually","yes"
"Statistics","Corporate Sector","Listed Non-Government Non-Financial Companies","Listed Non-Government Non-Financial Companies","1118","2. Performance of Listed Non-Government Non-Financial Companies - Sector - wise","Annual","31-MAR-2016","31-MAR-2026","table","covered","1","PRF_LNGNFC_ANN_RN","Performance of Listed Non-Government Non-Financial Companies Annually","yes"
"Statistics","Corporate Sector","Listed Non-Government Non-Financial Companies","Listed Non-Government Non-Financial Companies","1068","3. Performance of Listed Non-Government Non-Financial Companies according to Size of Paid-up-Capital","Annual","31-MAR-2016","31-MAR-2026","table","covered","1","PRF_LNGNFC_ANN_RN","Performance of Listed Non-Government Non-Financial Companies Annually","yes"
"Statistics","Corporate Sector","Listed Non-Government Non-Financial Companies","Listed Non-Government Non-Financial Companies","1070","4. Performance of Listed Non-Government Non-Financial Companies according to Size of Sales","Annual","31-MAR-2016","31-MAR-2026","table","covered","1","PRF_LNGNFC_ANN_RN","Performance of Listed Non-Government Non-Financial Companies Annually","yes"
"Statistics","Corporate Sector","Listed Non-Government Non-Financial Companies","Listed Non-Government Non-Financial Companies","1073","5. Performance of Listed Non-Government Non-Financial Companies according to Industry","Annual","31-MAR-2016","31-MAR-2026","table","covered","1","PRF_LNGNFC_ANN_RN","Performance of Listed Non-Government Non-Financial Companies Annually","yes"
"Statistics","Corporate Sector","Listed Non-Government Non-Financial Companies","Listed Non-Government Non-Financial Companies","1408","6. Explanatory Notes & Glossary","Annual","31-MAR-2017","31-MAR-2026","documentation","non-table","0.2","NOT_COIN_RN","Notes & Coin in Circulation",""
"Statistics","Corporate Sector","Non-Government Non-Financial Private Limited Companies","Non-Government Non-Financial Private Limited Companies","1179","Statement 01: Growth Rates of the Select Items of the Select Private Limited Companies","Annual","31-MAR-2011","31-MAR-2025","table","covered","0.83","GRWT_RT_INDC_PVT_RN","Growth Rate Indicators for Private Limited Companies","yes"
"Statistics","Corporate Sector","Non-Government Non-Financial Private Limited Companies","Non-Government Non-Financial Private Limited Companies","1187","Statement 02: Select Financial Ratios of the Select Private Limited Companies","Annual","31-MAR-2010","31-MAR-2025","table","covered","1","FIN_RATIOS_RN","Financial Ratios","yes"
"Statistics","Corporate Sector","Non-Government Non-Financial Private Limited Companies","Non-Government Non-Financial Private Limited Companies","1175","Statement 03: Combined Income, Value of Production, Expenditure and Appropriation Accounts of the Select Private Limited Companies","Annual","31-MAR-2010","31-MAR-2025","table","covered","0.63","CI_NGNBFI_AW_RN","Combined Income, Expenditure and Appropriation Accounts for Non-Government Non-Banking Financial and Investment (NGNBF&I) Companies - Activity wise","yes"
"Statistics","Corporate Sector","Non-Government Non-Financial Private Limited Companies","Non-Government Non-Financial Private Limited Companies","1176","Statement 04A: Combined Balance Sheet (Capital and Liabilities) of the Select Private Limited Companies","Annual","31-MAR-2010","31-MAR-2025","table","covered","1","BAL_SHT_PVT_RN","Balance Sheet of Private Limited Companies","yes"
"Statistics","Corporate Sector","Non-Government Non-Financial Private Limited Companies","Non-Government Non-Financial Private Limited Companies","1188","Statement 04B: Combined Balance Sheet (Assets) of the Select Private Limited Companies","Annual","31-MAR-2010","31-MAR-2025","table","covered","1","BAL_SHT_PVT_RN","Balance Sheet of Private Limited Companies","yes"
"Statistics","Corporate Sector","Non-Government Non-Financial Private Limited Companies","Non-Government Non-Financial Private Limited Companies","1184","Statement 05A: Sources of Funds of the Select Private Limited Companies","Annual","31-MAR-2011","31-MAR-2025","table","covered","1","SRC_FND_PVT_RN","Sources of funds of Private Limited Companies","yes"
"Statistics","Corporate Sector","Non-Government Non-Financial Private Limited Companies","Non-Government Non-Financial Private Limited Companies","1203","Statement 05B: Uses of Funds of the Select Private Limited Companies","Annual","31-MAR-2011","31-MAR-2025","table","covered","1","USE_FBD_PVT_RN","Uses of Funds of Private Limited Companies","yes"
"Statistics","Corporate Sector","Non-Government Non-Financial Private Limited Companies","Non-Government Non-Financial Private Limited Companies","1181","Statement 06: Earnings / Expenditure in Foreign Currencies of Select Private Limited Companies","Annual","31-MAR-2010","31-MAR-2019","table","covered","1","EAR_EXP_FC_RN","Earning or Expenditure in Foreign Currencies","yes"
"Statistics","Corporate Sector","Non-Government Non-Financial Private Limited Companies","Non-Government Non-Financial Private Limited Companies","1204","Statement 07: Growth Rates of the Select Items of the Select Private Limited Companies - Industry-wise","Annual","31-MAR-2011","31-MAR-2025","table","covered","0.86","GRWT_RT_INDC_PVT_IND_RN","Growth Rate Indicators for Private Limited Companies - Industry wise","yes"
