DATAFLOW,AUDST,BAL_SHT_ITMS_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_NON_CURR_LIA,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,2216326000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_NON_CURR_LIA,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,1736769000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_NON_CURR_LIA,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,1907970000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SAMPA,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,6643000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SAMPA,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,17289000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SAMPA,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,9290000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_MNY_RCV_SHARE_WRRNT,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,1250000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_MNY_RCV_SHARE_WRRNT,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,8278000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_MNY_RCV_SHARE_WRRNT,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,1657000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RES_SRPLS,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,4000827000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RES_SRPLS,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,3257713000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RES_SRPLS,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,3591683000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_CAP_RSV,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,1549564000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_CAP_RSV,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,1277740000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_CAP_RSV,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,1381046000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_CR_SPR,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,1419850000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_CR_SPR,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,1197242000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_CR_SPR,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,1276938000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_DRS,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,28731000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_DRS,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,24461000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_DRS,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,26197000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_IAR,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,76000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_IAR,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,31000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_IAR,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,76000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_OTH_RES,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,2422456000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_OTH_RES,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,1955480000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_RS_OTH_RES,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,2184363000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SC_FS,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,813000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SC_FS,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,813000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SC_FS,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,813000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SC_ORD,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,499702000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SC_ORD,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,441257000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SC_ORD,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,478733000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SC_ORD_BONUS,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,53284000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SC_ORD_BONUS,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,50226000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SC_ORD_BONUS,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,52830000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SC_PREF,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,44483000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SC_PREF,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,50877000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SC_PREF,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,46482000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SHARE_CAPITAL,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,544998000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SHARE_CAPITAL,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,492948000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SF_SHARE_CAPITAL,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,526027000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SHARE_HLDR_FNDS,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,4547075000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SHARE_HLDR_FNDS,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,3758938000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,CAP_SHARE_HLDR_FNDS,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,4119368000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,LIB_CL,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,3554536000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,LIB_CL,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,2686573000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,LIB_CL,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,3263997000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,LIB_CL_OCL,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,973575000000
RBI:BAL_SHT_FDI_LIA_COMP_RN(1.0),N_A,LIB_CL_OCL,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,790628000000
