DATAFLOW,AUDST,BAL_SHT_ITMS_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CAO_IT,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,42912000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CAO_IT,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,40308000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CAO_IT,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,49528000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,745213000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,630840000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,712773000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE_BWB,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,655422000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE_BWB,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,569861000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE_BWB,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,643842000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE_CD_OH,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,9877000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE_CD_OH,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,15271000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE_CD_OH,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,10407000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE_COH,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,5442000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE_COH,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,1168000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE_COH,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,2222000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE_OTH,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,74472000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE_OTH,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,44540000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CCE_OTH,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,56302000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CI,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,309291000000
RBI:BAL_SHT_FDI_COMP_RN(1.0),N_A,CA_CI,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,384504000000
