DATAFLOW,AUDST,EAR_EXP_FC_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EAR_EXP_FC_RN(1.0),N_A,EAR_FC_EG,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,1222639000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EAR_FC_EG,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,847354000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EAR_FC_EG,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,1078338000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EAR_FC_OTH,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,844854000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EAR_FC_OTH,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,531006000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EAR_FC_OTH,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,650911000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EAR_FRG_CURR,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,2067493000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EAR_FRG_CURR,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,1378360000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EAR_FRG_CURR,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,1729249000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_CG,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,157555000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_CG,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,160793000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_CG,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,153939000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_CSP,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,54549000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_CSP,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,64310000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_CSP,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,57635000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_FRG_CURR,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,2578158000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_FRG_CURR,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,1829502000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_FRG_CURR,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,2137501000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_OEFC,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,587345000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_OEFC,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,353315000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_OEFC,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,451080000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_RM,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,1621488000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_RM,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,1115252000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_RM,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,1324098000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_VAL_IMP,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,1990814000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_VAL_IMP,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,1476187000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_VAL_IMP,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,1686421000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_VAL_IMP_OTH,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,157222000000
RBI:EAR_EXP_FC_RN(1.0),N_A,EXP_VAL_IMP_OTH,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,135832000000
