DATAFLOW,AUDST,COMP_COUNT,COUNTRYCODE,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,AUTR_EXP_SAL,0,2013-03-31,PT,16.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,AUTR_GVA_GFA,0,2013-03-31,PT,51.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,AUTR_INV_SAL,0,2013-03-31,PT,23.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,AUTR_SAL_GFA,0,2013-03-31,PT,250.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,AUTR_SAL_TNA,0,2013-03-31,PT,108.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,AUTR_TR_SAL,0,2013-03-31,PT,18.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,CSR_DEB_EQT,0,2013-03-31,PT,25.8
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,CSR_NFA_TNA,0,2013-03-31,PT,30.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,CSR_NW_TNA,0,2013-03-31,PT,41.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,CSR_STBB_INV,0,2013-03-31,PT,61.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,CSR_TB_EQT,0,2013-03-31,PT,72.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,ER_CRM_TE,0,2013-03-31,PT,61.2
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,ER_ICR,0,2013-03-31,PT,6.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,ER_IP_TE,0,2013-03-31,PT,1.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,ER_RTE_TE,0,2013-03-31,PT,10.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,LR_CA_CL,0,2013-03-31,PT,1.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,LR_CA_TNA,0,2013-03-31,PT,64.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,LR_QA_CL,0,2013-03-31,PT,53.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,LR_TP_CA,0,2013-03-31,PT,30.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,PPAR_DIV_NW,0,2013-03-31,PT,1.8
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,PPAR_EBD_SAL,0,2013-03-31,PT,7.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,PPAR_GP_SAL,0,2013-03-31,PT,8.6
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,PPAR_GP_TNA,0,2013-03-31,PT,8.6
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,PPAR_OD_TO_OPC,0,2013-03-31,PT,12.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,PPAR_PAT_SAL,0,2013-03-31,PT,5.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,PPAR_PAT_TNW,0,2013-03-31,PT,12.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,PPAR_PR_PAT,0,2013-03-31,PT,85.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,PPAR_TP_PBT,0,2013-03-31,PT,32.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,SUFR_ESF_TSF,0,2013-03-31,PT,61.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,SUFR_GCF_TUF,0,2013-03-31,PT,60.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,SUFR_GFAF_TUF,0,2013-03-31,PT,39.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,SUFR_GS_GCF,0,2013-03-31,PT,61.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,CURR_YR,2013,2012,SUFR_IBB_TES,0,2013-03-31,PT,90.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,AUTR_EXP_SAL,0,2013-03-31,PT,22.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,AUTR_INV_SAL,0,2013-03-31,PT,23.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,AUTR_TR_SAL,0,2013-03-31,PT,14.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,CSR_DEB_EQT,0,2013-03-31,PT,16.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,CSR_NFA_TNA,0,2013-03-31,PT,30.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,CSR_NW_TNA,0,2013-03-31,PT,48.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_TO_PREV,2013,2012,CSR_STBB_INV,0,2013-03-31,PT,21.0
