DATAFLOW,AUDST,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,AUTR_EXP_SAL,0,2013-03-31,PT,14.3
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,AUTR_GVA_GFA,0,2013-03-31,PT,33.7
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,AUTR_INV_SAL,0,2013-03-31,PT,12.7
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,AUTR_SAL_GFA,0,2013-03-31,PT,153.8
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,AUTR_SAL_TNA,0,2013-03-31,PT,87.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,AUTR_TR_SAL,0,2013-03-31,PT,13.8
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,CSR_DEB_EQT,0,2013-03-31,PT,41.4
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,CSR_NFA_TNA,0,2013-03-31,PT,38.5
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,CSR_NW_TNA,0,2013-03-31,PT,44.1
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,CSR_STBB_INV,0,2013-03-31,PT,42.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,CSR_TB_EQT,0,2013-03-31,PT,59.3
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ER_CRM_TE,0,2013-03-31,PT,57.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ER_ICR,0,2013-03-31,PT,3.6
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ER_IP_TE,0,2013-03-31,PT,2.9
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ER_RTE_TE,0,2013-03-31,PT,8.9
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,LR_CA_CL,0,2013-03-31,PT,1.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,LR_CA_TNA,0,2013-03-31,PT,41.7
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,LR_QA_CL,0,2013-03-31,PT,60.8
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,LR_TP_CA,0,2013-03-31,PT,34.9
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_DIV_NW,0,2013-03-31,PT,4.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_EBD_SAL,0,2013-03-31,PT,10.9
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_GP_SAL,0,2013-03-31,PT,10.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_GP_TNA,0,2013-03-31,PT,8.3
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_OD_TO_OPC,0,2013-03-31,PT,37.8
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_PAT_SAL,0,2013-03-31,PT,5.3
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_PAT_TNW,0,2013-03-31,PT,10.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_PR_PAT,0,2013-03-31,PT,64.4
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_TP_PBT,0,2013-03-31,PT,24.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,SUFR_ESF_TSF,0,2013-03-31,PT,53.4
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,SUFR_GCF_TUF,0,2013-03-31,PT,56.9
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,SUFR_GFAF_TUF,0,2013-03-31,PT,49.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,SUFR_GS_GCF,0,2013-03-31,PT,76.7
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,CURR_YR,2013,2012,SUFR_IBB_TES,0,2013-03-31,PT,26.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,AUTR_EXP_SAL,0,2013-03-31,PT,13.3
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,AUTR_INV_SAL,0,2013-03-31,PT,14.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,AUTR_TR_SAL,0,2013-03-31,PT,12.6
