DATAFLOW,AUDST,COMP_COUNT,COUNTRYCODE,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_BORRW_BNKS,CURR_YR,2013,2012,0,2013-03-31,PT,91.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_BORRW_BNKS,PREV_YR,2013,2012,0,2013-03-31,PT,72.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_CURR_ASST,CURR_YR,2013,2012,0,2013-03-31,PT,18.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_CURR_ASST,PREV_YR,2013,2012,0,2013-03-31,PT,21.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_CURR_LIB,CURR_YR,2013,2012,0,2013-03-31,PT,21.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_CURR_LIB,PREV_YR,2013,2012,0,2013-03-31,PT,33.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_DESC_PROV,CURR_YR,2013,2012,0,2013-03-31,PT,19.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_DESC_PROV,PREV_YR,2013,2012,0,2013-03-31,PT,6.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_DIV_PAID,CURR_YR,2013,2012,0,2013-03-31,PT,-5.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_DIV_PAID,PREV_YR,2013,2012,0,2013-03-31,PT,2.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_EBIT,CURR_YR,2013,2012,0,2013-03-31,PT,50.4
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_EBIT,PREV_YR,2013,2012,0,2013-03-31,PT,-26.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_EBITDA,CURR_YR,2013,2012,0,2013-03-31,PT,35.3
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_EBITDA,PREV_YR,2013,2012,0,2013-03-31,PT,-29.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_GFA,CURR_YR,2013,2012,0,2013-03-31,PT,18.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_GFA,PREV_YR,2013,2012,0,2013-03-31,PT,18.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_GRS_SAV,CURR_YR,2013,2012,0,2013-03-31,PT,77.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_GRS_SAV,PREV_YR,2013,2012,0,2013-03-31,PT,-35.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_GVA,CURR_YR,2013,2012,0,2013-03-31,PT,39.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_GVA,PREV_YR,2013,2012,0,2013-03-31,PT,-5.3
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_INT_EXP,CURR_YR,2013,2012,0,2013-03-31,PT,19.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_INT_EXP,PREV_YR,2013,2012,0,2013-03-31,PT,64.4
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_INVN,CURR_YR,2013,2012,0,2013-03-31,PT,18.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_INVN,PREV_YR,2013,2012,0,2013-03-31,PT,17.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_LNG_BORRW,CURR_YR,2013,2012,0,2013-03-31,PT,26.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_LNG_BORRW,PREV_YR,2013,2012,0,2013-03-31,PT,47.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_MNF_EXP,CURR_YR,2013,2012,0,2013-03-31,PT,13.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_MNF_EXP,PREV_YR,2013,2012,0,2013-03-31,PT,26.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_NC_LIB,CURR_YR,2013,2012,0,2013-03-31,PT,26.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_NC_LIB,PREV_YR,2013,2012,0,2013-03-31,PT,31.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_NET_WRT,CURR_YR,2013,2012,0,2013-03-31,PT,12.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_NET_WRT,PREV_YR,2013,2012,0,2013-03-31,PT,9.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_NFA,CURR_YR,2013,2012,0,2013-03-31,PT,19.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_NFA,PREV_YR,2013,2012,0,2013-03-31,PT,19.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_NON_CUR_ASST,CURR_YR,2013,2012,0,2013-03-31,PT,17.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_NON_CUR_ASST,PREV_YR,2013,2012,0,2013-03-31,PT,21.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_NON_OP_SD,CURR_YR,2013,2012,0,2013-03-31,PT,114.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_NON_OP_SD,PREV_YR,2013,2012,0,2013-03-31,PT,111.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_NVA,CURR_YR,2013,2012,0,2013-03-31,PT,41.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_NVA,PREV_YR,2013,2012,0,2013-03-31,PT,-6.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_OP_EXP,CURR_YR,2013,2012,0,2013-03-31,PT,14.4
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_OP_EXP,PREV_YR,2013,2012,0,2013-03-31,PT,23.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_PAT,CURR_YR,2013,2012,0,2013-03-31,PT,90.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_PAT,PREV_YR,2013,2012,0,2013-03-31,PT,-44.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_PBT,CURR_YR,2013,2012,0,2013-03-31,PT,60.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_PBT,PREV_YR,2013,2012,0,2013-03-31,PT,-32.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_PBT_NON_OP_SD,CURR_YR,2013,2012,0,2013-03-31,PT,57.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_PBT_NON_OP_SD,PREV_YR,2013,2012,0,2013-03-31,PT,-35.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_PFT_RET,CURR_YR,2013,2012,0,2013-03-31,PT,135.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_PFT_RET,PREV_YR,2013,2012,0,2013-03-31,PT,-54.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_REM_EMP,CURR_YR,2013,2012,0,2013-03-31,PT,29.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_REM_EMP,PREV_YR,2013,2012,0,2013-03-31,PT,21.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_SAL,CURR_YR,2013,2012,0,2013-03-31,PT,15.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_SAL,PREV_YR,2013,2012,0,2013-03-31,PT,19.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TGA,CURR_YR,2013,2012,0,2013-03-31,PT,17.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TGA,PREV_YR,2013,2012,0,2013-03-31,PT,20.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TNA,CURR_YR,2013,2012,0,2013-03-31,PT,17.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TNA,PREV_YR,2013,2012,0,2013-03-31,PT,21.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_BORRW,CURR_YR,2013,2012,0,2013-03-31,PT,51.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_BORRW,PREV_YR,2013,2012,0,2013-03-31,PT,71.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_ERN_FC,CURR_YR,2013,2012,0,2013-03-31,PT,-30.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_ERN_FC,PREV_YR,2013,2012,0,2013-03-31,PT,32.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_ERN_FC_EXP,CURR_YR,2013,2012,0,2013-03-31,PT,-26.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,CH,AFY,GRP_TTL_ERN_FC_EXP,PREV_YR,2013,2012,0,2013-03-31,PT,37.1
