DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,IND_CLASF_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,917,AFY,GRP_BORRW_BNKS,ICC_ALL_INDS,CURR_YR,2013,2012,0,2013-03-31,PT,17.1
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,917,AFY,GRP_BORRW_BNKS,ICC_ALL_INDS,PREV_YR,2013,2012,0,2013-03-31,PT,15.3
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,70,AFY,GRP_BORRW_BNKS,ICC_MCH_TOOLS,CURR_YR,2013,2012,0,2013-03-31,PT,31.9
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,70,AFY,GRP_BORRW_BNKS,ICC_MCH_TOOLS,PREV_YR,2013,2012,0,2013-03-31,PT,84.3
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,448,AFY,GRP_BORRW_BNKS,ICC_MFG,CURR_YR,2013,2012,0,2013-03-31,PT,36.7
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,448,AFY,GRP_BORRW_BNKS,ICC_MFG,PREV_YR,2013,2012,0,2013-03-31,PT,14.9
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,41,AFY,GRP_BORRW_BNKS,ICC_MFG_CHEM_CD,CURR_YR,2013,2012,0,2013-03-31,PT,47.6
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,41,AFY,GRP_BORRW_BNKS,ICC_MFG_CHEM_CD,PREV_YR,2013,2012,0,2013-03-31,PT,19.0
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,33,AFY,GRP_BORRW_BNKS,ICC_MFG_EM_APPR,CURR_YR,2013,2012,0,2013-03-31,PT,46.0
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,33,AFY,GRP_BORRW_BNKS,ICC_MFG_EM_APPR,PREV_YR,2013,2012,0,2013-03-31,PT,16.9
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,35,AFY,GRP_BORRW_BNKS,ICC_MFG_FP_BV,CURR_YR,2013,2012,0,2013-03-31,PT,49.9
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,35,AFY,GRP_BORRW_BNKS,ICC_MFG_FP_BV,PREV_YR,2013,2012,0,2013-03-31,PT,25.8
RBI:GRWT_RT_INDIC_FDI_RN(1.0),N_A,49,AFY,GRP_BORRW_BNKS,ICC_MFG_MTR_VEH_OTH_TRAN,CURR_YR,2013,2012,0,2013-03-31,PT,69.3
