DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,IND_TYP_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_BORRW_BNKS,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,35.460162484463
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_BORRW_BNKS,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,17.000021076148
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_BORRW_BNKS,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,15.075211707769
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_BORRW_BNKS,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,15.1616611
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_CURR_ASST,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,17.261618417662
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_CURR_ASST,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,17.696421891272
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_CURR_ASST,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,7.275124891656
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_CURR_ASST,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,11.35743555
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_CURR_LIB,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,15.693233809872
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_CURR_LIB,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,28.142042859129
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_CURR_LIB,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,8.394923514218
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_CURR_LIB,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,20.88020594
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_DESC_PROV,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,14.100773345144
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_DESC_PROV,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,14.111884305874
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_DESC_PROV,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,22.862444362651
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_DESC_PROV,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,16.89895316
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_DIV_PAID,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,69.763575914296
