DATAFLOW,AUDST,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_BORRW_BNKS,CURR_YR,2013,2012,0,2013-03-31,PT,17.1
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_BORRW_BNKS,PREV_YR,2013,2012,0,2013-03-31,PT,15.3
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_CURR_ASST,CURR_YR,2013,2012,0,2013-03-31,PT,8.4
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_CURR_ASST,PREV_YR,2013,2012,0,2013-03-31,PT,12.1
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_CURR_LIB,CURR_YR,2013,2012,0,2013-03-31,PT,9.1
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_CURR_LIB,PREV_YR,2013,2012,0,2013-03-31,PT,21.6
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_DESC_PROV,CURR_YR,2013,2012,0,2013-03-31,PT,22.0
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_DESC_PROV,PREV_YR,2013,2012,0,2013-03-31,PT,16.6
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_DIV_PAID,CURR_YR,2013,2012,0,2013-03-31,PT,18.8
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_DIV_PAID,PREV_YR,2013,2012,0,2013-03-31,PT,-0.9
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_EBIT,CURR_YR,2013,2012,0,2013-03-31,PT,3.8
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_EBIT,PREV_YR,2013,2012,0,2013-03-31,PT,2.0
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_EBITDA,CURR_YR,2013,2012,0,2013-03-31,PT,7.2
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_EBITDA,PREV_YR,2013,2012,0,2013-03-31,PT,-0.2
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_GFA,CURR_YR,2013,2012,0,2013-03-31,PT,13.0
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_GFA,PREV_YR,2013,2012,0,2013-03-31,PT,13.8
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_GRS_SAV,CURR_YR,2013,2012,0,2013-03-31,PT,8.8
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_GRS_SAV,PREV_YR,2013,2012,0,2013-03-31,PT,-6.8
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_GVA,CURR_YR,2013,2012,0,2013-03-31,PT,12.0
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_GVA,PREV_YR,2013,2012,0,2013-03-31,PT,8.2
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_INT_EXP,CURR_YR,2013,2012,0,2013-03-31,PT,30.0
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_INT_EXP,PREV_YR,2013,2012,0,2013-03-31,PT,42.4
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_INVN,CURR_YR,2013,2012,0,2013-03-31,PT,11.0
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_INVN,PREV_YR,2013,2012,0,2013-03-31,PT,10.4
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_LNG_BORRW,CURR_YR,2013,2012,0,2013-03-31,PT,19.5
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_LNG_BORRW,PREV_YR,2013,2012,0,2013-03-31,PT,13.4
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_MNF_EXP,CURR_YR,2013,2012,0,2013-03-31,PT,15.7
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_MNF_EXP,PREV_YR,2013,2012,0,2013-03-31,PT,19.0
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NC_LIB,CURR_YR,2013,2012,0,2013-03-31,PT,17.5
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NC_LIB,PREV_YR,2013,2012,0,2013-03-31,PT,11.5
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NET_WRT,CURR_YR,2013,2012,0,2013-03-31,PT,10.4
RBI:GRWT_RT_INDC_FDI_RN(1.0),N_A,AFY,GRP_NET_WRT,PREV_YR,2013,2012,0,2013-03-31,PT,9.2
