DATAFLOW,AUDST,COUNTRYCODE,FREQ,IND_CLASF_RN,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MULT,OBS_VALUE
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CH,AFY,ICC_MCH_TOOLS,2013,2012,2013-03-31,0,5.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CH,AFY,ICC_MFG,2013,2012,2013-03-31,0,17.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CH,AFY,ICC_MFG_CHEM_CD,2013,2012,2013-03-31,0,2.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CH,AFY,ICC_MFG_EM_APPR,2013,2012,2013-03-31,0,2.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CH,AFY,ICC_MFG_FP_BV,2013,2012,2013-03-31,0,1.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CH,AFY,ICC_MFG_MTR_VEH_OTH_TRAN,2013,2012,2013-03-31,0,0.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CH,AFY,ICC_MFG_OTH,2013,2012,2013-03-31,0,17.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CH,AFY,ICC_MFG_RUB_PLAS_PROD,2013,2012,2013-03-31,0,0.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CH,AFY,ICC_SRV,2013,2012,2013-03-31,0,5.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CH,AFY,ICC_SRV_CRA,2013,2012,2013-03-31,0,0.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CH,AFY,ICC_SRV_OTHE,2013,2012,2013-03-31,0,5.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CH,AFY,ICC_SRV_TSCO,2013,2012,2013-03-31,0,1.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CH,AFY,ICC_SRV_WHL_RET_TRD,2013,2012,2013-03-31,0,0.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CH,AFY,ICC_TTL,2013,2012,2013-03-31,0,22.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CNTY_TTL,AFY,ICC_MCH_TOOLS,2013,2012,2013-03-31,0,70.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CNTY_TTL,AFY,ICC_MFG,2013,2012,2013-03-31,0,448.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CNTY_TTL,AFY,ICC_MFG_CHEM_CD,2013,2012,2013-03-31,0,41.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,CNTY_TTL,AFY,ICC_MFG_EM_APPR,2013,2012,2013-03-31,0,33.0
