DATAFLOW,AUDST,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_SRC_FNDS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ESL_NCL_LTB_LTM_OF_FLO,0,2013-03-31,INR,-1496000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_CL_OCL,0,2013-03-31,INR,30585000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_CL_STBR,0,2013-03-31,INR,98301000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_CL_STBR_DEP,0,2013-03-31,INR,1206000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_CL_STBR_LROD,0,2013-03-31,INR,49581000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_CL_STBR_OLA,0,2013-03-31,INR,47989000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_CL_TRD_PAYS,0,2013-03-31,INR,141353000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_CURR_LIB,0,2013-03-31,INR,270238000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_DEF_TAX_LIB,0,2013-03-31,INR,2310000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_MON_AGST_SHR_WAR,0,2013-03-31,INR,-407000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_NCL_LNG_BRW,0,2013-03-31,INR,307780000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_NCL_LTB_BND,0,2013-03-31,INR,35657000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_NCL_LTB_DEPS,0,2013-03-31,INR,-2715000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_NCL_LTB_DPLS,0,2013-03-31,INR,21821000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_NCL_LTB_LAAFP,0,2013-03-31,INR,4154000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_NCL_LTB_OTH,0,2013-03-31,INR,23025000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_NCL_LTB_TLS,0,2013-03-31,INR,226965000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_NCL_LTB_TLS_BNK,0,2013-03-31,INR,158616000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_NCL_LTB_TLS_OTH,0,2013-03-31,INR,68349000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_NON_CURR_LIB,0,2013-03-31,INR,297655000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_OTH_LTA,0,2013-03-31,INR,-12434000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_PRM_ON_SHR,0,2013-03-31,INR,148573000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_SHR_APP_MON_PEN_ALT,0,2013-03-31,INR,-2646000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ES_SHR_CAP_PRM,0,2013-03-31,INR,167501000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,EXT_SRC,0,2013-03-31,INR,732443000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,INT_SRC,0,2013-03-31,INR,638081000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,IS_PRV,0,2013-03-31,INR,379150000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,IS_PRV_DEP,0,2013-03-31,INR,341533000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,IS_PRV_OCP,0,2013-03-31,INR,20301000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,IS_PRV_ONCP,0,2013-03-31,INR,10700000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,IS_PU_CAP,0,2013-03-31,INR,42000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,IS_RES_CAP_RES,0,2013-03-31,INR,18264000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,IS_RES_OTH,0,2013-03-31,INR,238093000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,IS_RES_SRPLS,0,2013-03-31,INR,258890000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,STBR_LROD_BNK,0,2013-03-31,INR,31644000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,STBR_LROD_OTH,0,2013-03-31,INR,17937000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2013,2012,TTL_INT_EXT_SRC,0,2013-03-31,INR,1370524000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ESL_NCL_LTB_LTM_OF_FLO,0,2013-03-31,INR,-2463000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_CL_OCL,0,2013-03-31,INR,152362000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_CL_STBR,0,2013-03-31,INR,173472000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_CL_STBR_DEP,0,2013-03-31,INR,-105000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_CL_STBR_LROD,0,2013-03-31,INR,112072000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_CL_STBR_OLA,0,2013-03-31,INR,55628000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_CL_TRD_PAYS,0,2013-03-31,INR,216004000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_CURR_LIB,0,2013-03-31,INR,541838000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_DEF_TAX_LIB,0,2013-03-31,INR,11180000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_MON_AGST_SHR_WAR,0,2013-03-31,INR,-6620000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_NCL_LNG_BRW,0,2013-03-31,INR,186787000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_NCL_LTB_BND,0,2013-03-31,INR,37452000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_NCL_LTB_DEPS,0,2013-03-31,INR,-19961000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_NCL_LTB_DPLS,0,2013-03-31,INR,-3863000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_NCL_LTB_LAAFP,0,2013-03-31,INR,1645000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_NCL_LTB_OTH,0,2013-03-31,INR,3626000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_NCL_LTB_TLS,0,2013-03-31,INR,170596000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_NCL_LTB_TLS_BNK,0,2013-03-31,INR,58453000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_NCL_LTB_TLS_OTH,0,2013-03-31,INR,112143000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_NON_CURR_LIB,0,2013-03-31,INR,167560000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_OTH_LTA,0,2013-03-31,INR,-30407000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_PRM_ON_SHR,0,2013-03-31,INR,66214000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_SHR_APP_MON_PEN_ALT,0,2013-03-31,INR,-8000000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,ES_SHR_CAP_PRM,0,2013-03-31,INR,98208000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,EXT_SRC,0,2013-03-31,INR,793060000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,INT_SRC,0,2013-03-31,INR,560320000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,IS_PRV,0,2013-03-31,INR,298173000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,IS_PRV_DEP,0,2013-03-31,INR,258945000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,IS_PRV_OCP,0,2013-03-31,INR,35586000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,IS_PRV_ONCP,0,2013-03-31,INR,3642000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,IS_PU_CAP,0,2013-03-31,INR,1086000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,IS_RES_CAP_RES,0,2013-03-31,INR,30397000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,IS_RES_OTH,0,2013-03-31,INR,228883000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,IS_RES_SRPLS,0,2013-03-31,INR,261062000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,STBR_LROD_BNK,0,2013-03-31,INR,89454000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,STBR_LROD_OTH,0,2013-03-31,INR,22618000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,PREV_YR,2013,2012,TTL_INT_EXT_SRC,0,2013-03-31,INR,1353380000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ESL_NCL_LTB_LTM_OF_FLO,0,2014-03-31,INR,15120000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ES_CL_OCL,0,2014-03-31,INR,275343000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ES_CL_STBR,0,2014-03-31,INR,127740000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ES_CL_STBR_DEP,0,2014-03-31,INR,931000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ES_CL_STBR_LROD,0,2014-03-31,INR,-18581000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ES_CL_STBR_OLA,0,2014-03-31,INR,150737000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ES_CL_TRD_PAYS,0,2014-03-31,INR,188662000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ES_CURR_LIB,0,2014-03-31,INR,591745000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ES_MON_AGST_SHR_WAR,0,2014-03-31,INR,-10000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ES_NCL_LNG_BRW,0,2014-03-31,INR,317445000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ES_NCL_LTB_BND,0,2014-03-31,INR,26012000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ES_NCL_LTB_DEPS,0,2014-03-31,INR,605000000
RBI:SRC_FND_FDI_COMP_RN(1.0),N_A,AFY,CURR_YR,2014,2013,ES_NCL_LTB_DPLS,0,2014-03-31,INR,74405000000
