DATAFLOW,AUDST,BAL_SHT_ITMS_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_ADV_IT,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,0.0
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_ADV_IT,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,9220000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_CCE,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,32440000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_CCE,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,81934000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_CI,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,26340000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_CI,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,-101553000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_INV,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,107577000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_INV,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,92278000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_INV_FG,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,35972000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_INV_FG,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,40038000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_INV_OTH,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,5422000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_INV_OTH,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,3379000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_INV_RM_CE,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,44182000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_INV_RM_CE,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,15309000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_INV_SS,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,5137000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_INV_SS,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,5488000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_INV_WIP,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,16863000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_INV_WIP,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,28063000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_OCA,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,43420000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_OCA,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,38268000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_STL_EQU,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,-43767000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_STL_EQU,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,93291000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_TRA_REC,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,169149000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CA_TRA_REC,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,211781000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CURR_AST,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,335160000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,CURR_AST,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,425218000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,1035365000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,928162000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_ADV_IT,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,25556000000
RBI:USE_FBD_FDI_COMP_RN(1.0),N_A,NCA_ADV_IT,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,25780000000
