DATAFLOW,AUDST,COMP_COUNT,FREQ,INDS_GRP_RN,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,46,AFY,AGR_REL_ACT,DEPRC,2016,2015,0,2016-03-31,PT,9.626
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,46,AFY,AGR_REL_ACT,EBITDA,2016,2015,0,2016-03-31,PT,-9.3475
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,46,AFY,AGR_REL_ACT,EXPD,2016,2015,0,2016-03-31,PT,-0.7667
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,46,AFY,AGR_REL_ACT,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,-15.1791
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,46,AFY,AGR_REL_ACT,INT,2016,2015,0,2016-03-31,PT,-10.3556
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,46,AFY,AGR_REL_ACT,NET_PFT,2016,2015,0,2016-03-31,PT,-42.7283
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,46,AFY,AGR_REL_ACT,OPR_PFT,2016,2015,0,2016-03-31,PT,-19.9085
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,46,AFY,AGR_REL_ACT,OTH_INC,2016,2015,0,2016-03-31,PT,29.0324
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,46,AFY,AGR_REL_ACT,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,0.312065
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,46,AFY,AGR_REL_ACT,SALES,2016,2015,0,2016-03-31,INR,93302300000
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,46,AFY,AGR_REL_ACT,SALES,2016,2015,0,2016-03-31,PT,-1.0809
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,46,AFY,AGR_REL_ACT,TAX_PROV,2016,2015,0,2016-03-31,PT,-67.118
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,32,AFY,AGR_REL_ACT_OTH,DEPRC,2016,2015,0,2016-03-31,PT,18.0742
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,32,AFY,AGR_REL_ACT_OTH,EBITDA,2016,2015,0,2016-03-31,PT,-13.7465
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,32,AFY,AGR_REL_ACT_OTH,EXPD,2016,2015,0,2016-03-31,PT,-4.1908
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,32,AFY,AGR_REL_ACT_OTH,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,-20.6
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,32,AFY,AGR_REL_ACT_OTH,INT,2016,2015,0,2016-03-31,PT,-31.4095
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,32,AFY,AGR_REL_ACT_OTH,NET_PFT,2016,2015,0,2016-03-31,PT,-29.4404
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,32,AFY,AGR_REL_ACT_OTH,OPR_PFT,2016,2015,0,2016-03-31,PT,-19.5997
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,32,AFY,AGR_REL_ACT_OTH,OTH_INC,2016,2015,0,2016-03-31,PT,19.5658
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,32,AFY,AGR_REL_ACT_OTH,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,0.18802
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,32,AFY,AGR_REL_ACT_OTH,SALES,2016,2015,0,2016-03-31,INR,56214800000
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,32,AFY,AGR_REL_ACT_OTH,SALES,2016,2015,0,2016-03-31,PT,-4.2463
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,32,AFY,AGR_REL_ACT_OTH,TAX_PROV,2016,2015,0,2016-03-31,PT,-85.233
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,DEPRC,2016,2015,0,2016-03-31,PT,-0.0536
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,EBITDA,2016,2015,0,2016-03-31,PT,1.3381
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,EXPD,2016,2015,0,2016-03-31,PT,4.5476
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,2.1755
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,INT,2016,2015,0,2016-03-31,PT,23.7749
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,NET_PFT,2016,2015,0,2016-03-31,PT,-103.3452
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,OPR_PFT,2016,2015,0,2016-03-31,PT,-20.9322
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,OTH_INC,2016,2015,0,2016-03-31,PT,38.1495
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,0.124045
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,SALES,2016,2015,0,2016-03-31,INR,37087500000
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,SALES,2016,2015,0,2016-03-31,PT,4.1371
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,14,AFY,ARA_TCP,TAX_PROV,2016,2015,0,2016-03-31,PT,-38.4562
