DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,DEPRC,2016,2015,0,2016-03-31,INR,738128500000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,DEPRC,2016,2015,0,2016-03-31,PT,1.627757446586
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,EBITDA,2016,2015,0,2016-03-31,INR,3148976100000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,EBITDA,2016,2015,0,2016-03-31,PT,7.225595819089
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,EBT_BEFORE_NOP,2016,2015,0,2016-03-31,INR,1684864500000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,EBT_BEFORE_NOP,2016,2015,0,2016-03-31,PT,12.596302641501
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,EXPD,2016,2015,0,2016-03-31,INR,17946735100000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,EXPD,2016,2015,0,2016-03-31,PT,-6.580934422341
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,EXPD_OTH,2016,2015,0,2016-03-31,INR,5580734900000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,EXPD_PNF,2016,2015,0,2016-03-31,INR,632606600000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,EXPD_PNF,2016,2015,0,2016-03-31,PT,-1.471249716534
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,EXPD_RAW_MATR,2016,2015,0,2016-03-31,INR,10481271100000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,EXPD_RAW_MATR,2016,2015,0,2016-03-31,PT,-12.732625834513
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,EXPD_STAFF_COST,2016,2015,0,2016-03-31,INR,1252122500000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,EXPD_STAFF_COST,2016,2015,0,2016-03-31,PT,8.221384424041
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,INR,2410847600000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,9.064907222241
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,INT,2016,2015,0,2016-03-31,INR,725983100000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,INT,2016,2015,0,2016-03-31,PT,1.664906627852
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,NET_PFT,2016,2015,0,2016-03-31,INR,1097633100000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,NET_PFT,2016,2015,0,2016-03-31,PT,12.60290760336
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,OPR_PFT,2016,2015,0,2016-03-31,INR,2688381700000
