DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,PUC_CLS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,DEPRC,10_TO_15,2016,2015,0,2016-03-31,PT,-0.3454
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,DEPRC,15_TO_25,2016,2015,0,2016-03-31,PT,5.5111
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,792,AFY,DEPRC,25_N_ABOVE,2016,2015,0,2016-03-31,PT,5.3605
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,DEPRC,5_TO_10,2016,2015,0,2016-03-31,PT,0.7159
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,DEPRC,ALL_COMP,2016,2015,0,2016-03-31,PT,4.9526
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,DEPRC,LES_THN_5,2016,2015,0,2016-03-31,PT,-3.9169
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,EBITDA,10_TO_15,2016,2015,0,2016-03-31,PT,16.9314
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,EBITDA,15_TO_25,2016,2015,0,2016-03-31,PT,11.5347
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,792,AFY,EBITDA,25_N_ABOVE,2016,2015,0,2016-03-31,PT,7.3016
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,EBITDA,5_TO_10,2016,2015,0,2016-03-31,PT,11.6992
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,EBITDA,ALL_COMP,2016,2015,0,2016-03-31,PT,7.8764
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,EBITDA,LES_THN_5,2016,2015,0,2016-03-31,PT,0.5182
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,EXPD,10_TO_15,2016,2015,0,2016-03-31,PT,2.1288
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,EXPD,15_TO_25,2016,2015,0,2016-03-31,PT,0.7398
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,792,AFY,EXPD,25_N_ABOVE,2016,2015,0,2016-03-31,PT,-5.5593
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,EXPD,5_TO_10,2016,2015,0,2016-03-31,PT,0.7668
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,EXPD,ALL_COMP,2016,2015,0,2016-03-31,PT,-4.3745
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,EXPD,LES_THN_5,2016,2015,0,2016-03-31,PT,-1.119
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,GROSS_PFT_EBIT,10_TO_15,2016,2015,0,2016-03-31,PT,24.4548
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,GROSS_PFT_EBIT,15_TO_25,2016,2015,0,2016-03-31,PT,13.6981
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,792,AFY,GROSS_PFT_EBIT,25_N_ABOVE,2016,2015,0,2016-03-31,PT,7.8655
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,GROSS_PFT_EBIT,5_TO_10,2016,2015,0,2016-03-31,PT,15.326
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,GROSS_PFT_EBIT,ALL_COMP,2016,2015,0,2016-03-31,PT,8.7526
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,GROSS_PFT_EBIT,LES_THN_5,2016,2015,0,2016-03-31,PT,2.1839
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,INT,10_TO_15,2016,2015,0,2016-03-31,PT,-3.7112
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,INT,15_TO_25,2016,2015,0,2016-03-31,PT,2.678
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,792,AFY,INT,25_N_ABOVE,2016,2015,0,2016-03-31,PT,5.9062
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,INT,5_TO_10,2016,2015,0,2016-03-31,PT,-0.5051
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,INT,ALL_COMP,2016,2015,0,2016-03-31,PT,5.0068
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,INT,LES_THN_5,2016,2015,0,2016-03-31,PT,-3.2731
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,NET_PFT,10_TO_15,2016,2015,0,2016-03-31,PT,38.8271
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,NET_PFT,15_TO_25,2016,2015,0,2016-03-31,PT,20.8111
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,792,AFY,NET_PFT,25_N_ABOVE,2016,2015,0,2016-03-31,PT,7.9444
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,611,AFY,NET_PFT,5_TO_10,2016,2015,0,2016-03-31,PT,20.4483
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,2932,AFY,NET_PFT,ALL_COMP,2016,2015,0,2016-03-31,PT,9.2933
RBI:PRF_LNGNFC_PUC_ANN_RN(1.0),N_A,610,AFY,NET_PFT,LES_THN_5,2016,2015,0,2016-03-31,PT,4.5717
