DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,DEPRC,2016,2015,100_N_ABOVE,0,2016-03-31,PT,6.495
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,755,AFY,DEPRC,2016,2015,100_TO_500,0,2016-03-31,PT,-0.9094
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,281,AFY,DEPRC,2016,2015,25_TO_50,0,2016-03-31,PT,-13.9142
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,DEPRC,2016,2015,500_TO_1000,0,2016-03-31,PT,-2.4495
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,DEPRC,2016,2015,50_TO_100,0,2016-03-31,PT,-8.7412
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,DEPRC,2016,2015,ALL_COMP,0,2016-03-31,PT,4.9526
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,DEPRC,2016,2015,LES_CLS_THAN_25,0,2016-03-31,PT,-15.8807
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,EBITDA,2016,2015,100_N_ABOVE,0,2016-03-31,PT,8.1141
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,755,AFY,EBITDA,2016,2015,100_TO_500,0,2016-03-31,PT,-6.8522
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,EBITDA,2016,2015,500_TO_1000,0,2016-03-31,PT,27.3424
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,EBITDA,2016,2015,50_TO_100,0,2016-03-31,PT,32.3679
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,EBITDA,2016,2015,ALL_COMP,0,2016-03-31,PT,7.8764
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,EXPD,2016,2015,100_N_ABOVE,0,2016-03-31,PT,-4.2405
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,755,AFY,EXPD,2016,2015,100_TO_500,0,2016-03-31,PT,-4.007
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,281,AFY,EXPD,2016,2015,25_TO_50,0,2016-03-31,PT,-9.529
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,EXPD,2016,2015,500_TO_1000,0,2016-03-31,PT,-3.054
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,EXPD,2016,2015,50_TO_100,0,2016-03-31,PT,-11.0329
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,EXPD,2016,2015,ALL_COMP,0,2016-03-31,PT,-4.3745
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,EXPD,2016,2015,LES_CLS_THAN_25,0,2016-03-31,PT,-35.7657
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,GROSS_PFT_EBIT,2016,2015,100_N_ABOVE,0,2016-03-31,PT,8.5503
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,755,AFY,GROSS_PFT_EBIT,2016,2015,100_TO_500,0,2016-03-31,PT,-10.3934
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,GROSS_PFT_EBIT,2016,2015,500_TO_1000,0,2016-03-31,PT,46.6743
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,GROSS_PFT_EBIT,2016,2015,ALL_COMP,0,2016-03-31,PT,8.7526
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,INT,2016,2015,100_N_ABOVE,0,2016-03-31,PT,8.5623
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,755,AFY,INT,2016,2015,100_TO_500,0,2016-03-31,PT,-4.7136
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,281,AFY,INT,2016,2015,25_TO_50,0,2016-03-31,PT,-18.7988
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,INT,2016,2015,500_TO_1000,0,2016-03-31,PT,-7.5821
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,INT,2016,2015,50_TO_100,0,2016-03-31,PT,-6.5772
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,INT,2016,2015,ALL_COMP,0,2016-03-31,PT,5.0068
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,INT,2016,2015,LES_CLS_THAN_25,0,2016-03-31,PT,-6.5421
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,NET_PFT,2016,2015,100_N_ABOVE,0,2016-03-31,PT,7.7686
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,NET_PFT,2016,2015,ALL_COMP,0,2016-03-31,PT,9.2933
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,OPR_PFT,2016,2015,100_N_ABOVE,0,2016-03-31,PT,10.5739
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,755,AFY,OPR_PFT,2016,2015,100_TO_500,0,2016-03-31,PT,-8.2788
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,OPR_PFT,2016,2015,500_TO_1000,0,2016-03-31,PT,36.0945
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,OPR_PFT,2016,2015,50_TO_100,0,2016-03-31,PT,24.0468
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,OPR_PFT,2016,2015,ALL_COMP,0,2016-03-31,PT,10.2238
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,OTH_INC,2016,2015,100_N_ABOVE,0,2016-03-31,PT,-3.2198
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,755,AFY,OTH_INC,2016,2015,100_TO_500,0,2016-03-31,PT,-1.65
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,281,AFY,OTH_INC,2016,2015,25_TO_50,0,2016-03-31,PT,27.9167
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,OTH_INC,2016,2015,500_TO_1000,0,2016-03-31,PT,-4.5138
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,OTH_INC,2016,2015,50_TO_100,0,2016-03-31,PT,35.3958
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,OTH_INC,2016,2015,ALL_COMP,0,2016-03-31,PT,-2.4146
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,OTH_INC,2016,2015,LES_CLS_THAN_25,0,2016-03-31,PT,13.8693
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,SALES,2016,2015,100_N_ABOVE,0,2016-03-31,PT,-1.2445
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,755,AFY,SALES,2016,2015,100_TO_500,0,2016-03-31,PT,-3.0593
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,281,AFY,SALES,2016,2015,25_TO_50,0,2016-03-31,PT,-21.9916
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,SALES,2016,2015,500_TO_1000,0,2016-03-31,PT,-0.4292
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,SALES,2016,2015,50_TO_100,0,2016-03-31,PT,-8.6368
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,SALES,2016,2015,ALL_COMP,0,2016-03-31,PT,-1.6035
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,SALES,2016,2015,LES_CLS_THAN_25,0,2016-03-31,PT,-43.1996
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,SAL_SHARE,2016,2015,100_N_ABOVE,0,2016-03-31,PT,86.6235
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,755,AFY,SAL_SHARE,2016,2015,100_TO_500,0,2016-03-31,PT,6.1555
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,281,AFY,SAL_SHARE,2016,2015,25_TO_50,0,2016-03-31,PT,0.3413
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,SAL_SHARE,2016,2015,500_TO_1000,0,2016-03-31,PT,5.9135
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,315,AFY,SAL_SHARE,2016,2015,50_TO_100,0,2016-03-31,PT,0.77
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,SAL_SHARE,2016,2015,ALL_COMP,0,2016-03-31,PT,100.0
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,SAL_SHARE,2016,2015,LES_CLS_THAN_25,0,2016-03-31,PT,0.1962
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,TAX_PROV,2016,2015,100_N_ABOVE,0,2016-03-31,PT,1.8284
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,755,AFY,TAX_PROV,2016,2015,100_TO_500,0,2016-03-31,PT,17.7294
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,281,AFY,TAX_PROV,2016,2015,25_TO_50,0,2016-03-31,PT,-32.1222
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,247,AFY,TAX_PROV,2016,2015,500_TO_1000,0,2016-03-31,PT,20.6698
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,2932,AFY,TAX_PROV,2016,2015,ALL_COMP,0,2016-03-31,PT,2.2136
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,864,AFY,TAX_PROV,2016,2015,LES_CLS_THAN_25,0,2016-03-31,PT,77.9237
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,DEPRC,2017,2016,100_N_ABOVE,0,2017-03-31,PT,7.6473
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,DEPRC,2017,2016,100_TO_500,0,2017-03-31,PT,-3.3404
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,DEPRC,2017,2016,25_TO_50,0,2017-03-31,PT,-7.3095
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,DEPRC,2017,2016,500_TO_1000,0,2017-03-31,PT,2.2887
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,DEPRC,2017,2016,50_TO_100,0,2017-03-31,PT,-2.2067
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,DEPRC,2017,2016,ALL_COMP,0,2017-03-31,PT,6.4084
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,927,AFY,DEPRC,2017,2016,LES_CLS_THAN_25,0,2017-03-31,PT,-11.6217
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,EBITDA,2017,2016,100_N_ABOVE,0,2017-03-31,PT,6.1619
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,EBITDA,2017,2016,100_TO_500,0,2017-03-31,PT,-2.751
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,EBITDA,2017,2016,25_TO_50,0,2017-03-31,PT,-24.9433
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,EBITDA,2017,2016,500_TO_1000,0,2017-03-31,PT,-1.7253
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,EBITDA,2017,2016,50_TO_100,0,2017-03-31,PT,-5.2078
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,EBITDA,2017,2016,ALL_COMP,0,2017-03-31,PT,5.4598
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,EXPD,2017,2016,100_N_ABOVE,0,2017-03-31,PT,4.7852
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,EXPD,2017,2016,100_TO_500,0,2017-03-31,PT,-1.7603
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,EXPD,2017,2016,25_TO_50,0,2017-03-31,PT,-12.4525
