DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,DEPRC,2016,2015,0,2016-03-31,INR,1225524700000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,DEPRC,2016,2015,0,2016-03-31,PT,5.0
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,EBITDA,2016,2015,0,2016-03-31,INR,5463149700000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,EBITDA,2016,2015,0,2016-03-31,PT,7.9
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,EBT_BEFORE_NOP,2016,2015,0,2016-03-31,INR,2927432500000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,EBT_BEFORE_NOP,2016,2015,0,2016-03-31,PT,10.5
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,EXPD,2016,2015,0,2016-03-31,INR,25268732200000.004
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,EXPD,2016,2015,0,2016-03-31,PT,-4.4
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,EXPD_OTH,2016,2015,0,2016-03-31,INR,9586763900000.006
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,EXPD_OTH,2016,2015,0,2016-03-31,PT,2.0
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,EXPD_PNF,2016,2015,0,2016-03-31,INR,1050889400000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,EXPD_PNF,2016,2015,0,2016-03-31,PT,-7.1
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,EXPD_RAW_MATR,2016,2015,0,2016-03-31,INR,11726132599999.998
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,EXPD_RAW_MATR,2016,2015,0,2016-03-31,PT,-12.4
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,EXPD_STAFF_COST,2016,2015,0,2016-03-31,INR,2904946300000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,EXPD_STAFF_COST,2016,2015,0,2016-03-31,PT,13.1
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,INR,4237625000000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,8.8
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,INT,2016,2015,0,2016-03-31,INR,1310192499999.9998
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,INT,2016,2015,0,2016-03-31,PT,5.0
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,NET_PFT,2016,2015,0,2016-03-31,INR,1966084199999.9998
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,NET_PFT,2016,2015,0,2016-03-31,PT,9.3
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,OPR_PFT,2016,2015,0,2016-03-31,INR,4545264400000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,OPR_PFT,2016,2015,0,2016-03-31,PT,10.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,OTH_INC,2016,2015,0,2016-03-31,INR,917885300000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,OTH_INC,2016,2015,0,2016-03-31,PT,-2.4
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,SALES,2016,2015,0,2016-03-31,INR,29898344400000.004
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,SALES,2016,2015,0,2016-03-31,PT,-1.6
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,TAX_PROV,2016,2015,0,2016-03-31,INR,779437000000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,TAX_PROV,2016,2015,0,2016-03-31,PT,2.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,VAL_OF_PROD,2016,2015,0,2016-03-31,INR,29813996599999.996
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,VAL_OF_PROD,2016,2015,0,2016-03-31,PT,-2.4
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,DEPRC,2017,2016,0,2017-03-31,INR,1375057100000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,DEPRC,2017,2016,0,2017-03-31,PT,6.4
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,EBITDA,2017,2016,0,2017-03-31,INR,5932082700000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,EBITDA,2017,2016,0,2017-03-31,PT,5.5
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,EBT_BEFORE_NOP,2017,2016,0,2017-03-31,INR,3136269800000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,EBT_BEFORE_NOP,2017,2016,0,2017-03-31,PT,5.4
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,EXPD,2017,2016,0,2017-03-31,INR,26620148000000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,EXPD,2017,2016,0,2017-03-31,PT,3.8
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,EXPD_OTH,2017,2016,0,2017-03-31,INR,10037809200000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,EXPD_OTH,2017,2016,0,2017-03-31,PT,-8.5
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,EXPD_PNF,2017,2016,0,2017-03-31,INR,976644600000.0001
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,EXPD_PNF,2017,2016,0,2017-03-31,PT,-1.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,EXPD_RAW_MATR,2017,2016,0,2017-03-31,INR,12299576700000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,EXPD_RAW_MATR,2017,2016,0,2017-03-31,PT,4.8
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,EXPD_STAFF_COST,2017,2016,0,2017-03-31,INR,3306117500000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,EXPD_STAFF_COST,2017,2016,0,2017-03-31,PT,8.7
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,GROSS_PFT_EBIT,2017,2016,0,2017-03-31,INR,4557025600000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,GROSS_PFT_EBIT,2017,2016,0,2017-03-31,PT,5.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,INT,2017,2016,0,2017-03-31,INR,1420755800000.0002
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,INT,2017,2016,0,2017-03-31,PT,4.8
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,NET_PFT,2017,2016,0,2017-03-31,INR,2048444300000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,NET_PFT,2017,2016,0,2017-03-31,PT,11.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,OPR_PFT,2017,2016,0,2017-03-31,INR,4895914200000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,OPR_PFT,2017,2016,0,2017-03-31,PT,5.4
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,OTH_INC,2017,2016,0,2017-03-31,INR,1036168500000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,OTH_INC,2017,2016,0,2017-03-31,PT,5.9
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,SALES,2017,2016,0,2017-03-31,INR,31316263000000.004
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,SALES,2017,2016,0,2017-03-31,PT,3.1
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,TAX_PROV,2017,2016,0,2017-03-31,INR,833720200000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,TAX_PROV,2017,2016,0,2017-03-31,PT,1.5
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,VAL_OF_PROD,2017,2016,0,2017-03-31,INR,31516062199999.996
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,VAL_OF_PROD,2017,2016,0,2017-03-31,PT,4.0
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,DEPRC,2018,2017,0,2018-03-31,INR,1375385799999.9998
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,DEPRC,2018,2017,0,2018-03-31,PT,3.8
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,EBITDA,2018,2017,0,2018-03-31,INR,6302073400000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,EBITDA,2018,2017,0,2018-03-31,PT,4.9
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,EBT_BEFORE_NOP,2018,2017,0,2018-03-31,INR,3704031400000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,EBT_BEFORE_NOP,2018,2017,0,2018-03-31,PT,6.8
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,EXPD,2018,2017,0,2018-03-31,INR,28866379700000.004
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,EXPD,2018,2017,0,2018-03-31,PT,10.1
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,EXPD_OTH,2018,2017,0,2018-03-31,INR,10920280600000.004
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,EXPD_OTH,2018,2017,0,2018-03-31,PT,-27.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,EXPD_PNF,2018,2017,0,2018-03-31,INR,1108620000000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,EXPD_PNF,2018,2017,0,2018-03-31,PT,17.5
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,EXPD_RAW_MATR,2018,2017,0,2018-03-31,INR,13279045200000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,EXPD_RAW_MATR,2018,2017,0,2018-03-31,PT,12.3
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,EXPD_STAFF_COST,2018,2017,0,2018-03-31,INR,3558433900000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,EXPD_STAFF_COST,2018,2017,0,2018-03-31,PT,7.5
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,GROSS_PFT_EBIT,2018,2017,0,2018-03-31,INR,4926687600000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,GROSS_PFT_EBIT,2018,2017,0,2018-03-31,PT,5.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,INT,2018,2017,0,2018-03-31,INR,1222656200000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,INT,2018,2017,0,2018-03-31,PT,0.8
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,NET_PFT,2018,2017,0,2018-03-31,INR,2290540900000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,NET_PFT,2018,2017,0,2018-03-31,PT,-0.3
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,OPR_PFT,2018,2017,0,2018-03-31,INR,5204900399999.999
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,OPR_PFT,2018,2017,0,2018-03-31,PT,5.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,OTH_INC,2018,2017,0,2018-03-31,INR,1097172999999.9999
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,OTH_INC,2018,2017,0,2018-03-31,PT,3.5
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,SALES,2018,2017,0,2018-03-31,INR,33973372200000.004
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,SALES,2018,2017,0,2018-03-31,PT,9.8
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,TAX_PROV,2018,2017,0,2018-03-31,INR,1031095000000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,TAX_PROV,2018,2017,0,2018-03-31,PT,14.7
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,VAL_OF_PROD,2018,2017,0,2018-03-31,INR,34071280099999.996
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,VAL_OF_PROD,2018,2017,0,2018-03-31,PT,9.4
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,DEPRC,2019,2018,0,2019-03-31,INR,1416052900000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,DEPRC,2019,2018,0,2019-03-31,PT,6.9
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,EBITDA,2019,2018,0,2019-03-31,INR,7133953700000.001
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,EBITDA,2019,2018,0,2019-03-31,PT,12.3
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,EBT_BEFORE_NOP,2019,2018,0,2019-03-31,INR,4520816700000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,EBT_BEFORE_NOP,2019,2018,0,2019-03-31,PT,17.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,EXPD,2019,2018,0,2019-03-31,INR,33636023300000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,EXPD,2019,2018,0,2019-03-31,PT,15.3
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,EXPD_OTH,2019,2018,0,2019-03-31,INR,12367047000000
