DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,PUC_CLS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,DEPRC,10_TO_15,2015,2014,0,2014-06-30,PT,21.116
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,418,QFY,DEPRC,15_TO_25,2015,2014,0,2014-06-30,PT,12.1468
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,739,QFY,DEPRC,25_N_ABOVE,2015,2014,0,2014-06-30,PT,7.1374
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,DEPRC,5_TO_10,2015,2014,0,2014-06-30,PT,4.1065
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,DEPRC,ALL_COMP,2015,2014,0,2014-06-30,PT,8.0351
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,DEPRC,LES_THN_5,2015,2014,0,2014-06-30,PT,14.0883
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,EBITDA,10_TO_15,2015,2014,0,2014-06-30,PT,13.2353
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,418,QFY,EBITDA,15_TO_25,2015,2014,0,2014-06-30,PT,11.0326
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,739,QFY,EBITDA,25_N_ABOVE,2015,2014,0,2014-06-30,PT,13.5131
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,602,QFY,EBITDA,5_TO_10,2015,2014,0,2014-06-30,PT,4.7616
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2755,QFY,EBITDA,ALL_COMP,2015,2014,0,2014-06-30,PT,13.1753
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,566,QFY,EBITDA,LES_THN_5,2015,2014,0,2014-06-30,PT,14.5161
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,EXPD,10_TO_15,2015,2014,0,2014-06-30,PT,5.8489
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,418,QFY,EXPD,15_TO_25,2015,2014,0,2014-06-30,PT,3.7328
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,739,QFY,EXPD,25_N_ABOVE,2015,2014,0,2014-06-30,PT,6.2406
