DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,DEPRC,2015,2014,100_N_ABOVE,0,2014-06-30,PT,7.5273
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,726,QFY,DEPRC,2015,2014,100_TO_500,0,2014-06-30,PT,11.9704
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,279,QFY,DEPRC,2015,2014,25_TO_50,0,2014-06-30,PT,-0.1557
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,DEPRC,2015,2014,500_TO_1000,0,2014-06-30,PT,13.0063
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,DEPRC,2015,2014,50_TO_100,0,2014-06-30,PT,12.849
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,DEPRC,2015,2014,ALL_COMP,0,2014-06-30,PT,8.0351
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,742,QFY,DEPRC,2015,2014,LES_CLS_THAN_25,0,2014-06-30,PT,-6.8034
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,EBITDA,2015,2014,100_N_ABOVE,0,2014-06-30,PT,14.967
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,726,QFY,EBITDA,2015,2014,100_TO_500,0,2014-06-30,PT,-15.9479
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,279,QFY,EBITDA,2015,2014,25_TO_50,0,2014-06-30,PT,7.6769
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,EBITDA,2015,2014,500_TO_1000,0,2014-06-30,PT,9.8327
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,EBITDA,2015,2014,50_TO_100,0,2014-06-30,PT,7.8771
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,EBITDA,2015,2014,ALL_COMP,0,2014-06-30,PT,13.1753
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,742,QFY,EBITDA,2015,2014,LES_CLS_THAN_25,0,2014-06-30,PT,5.4748
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,EXPD,2015,2014,100_N_ABOVE,0,2014-06-30,PT,8.1534
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,726,QFY,EXPD,2015,2014,100_TO_500,0,2014-06-30,PT,-6.995
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,279,QFY,EXPD,2015,2014,25_TO_50,0,2014-06-30,PT,-27.6482
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,EXPD,2015,2014,500_TO_1000,0,2014-06-30,PT,4.3526
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,EXPD,2015,2014,50_TO_100,0,2014-06-30,PT,-16.7723
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,EXPD,2015,2014,ALL_COMP,0,2014-06-30,PT,6.0698
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,742,QFY,EXPD,2015,2014,LES_CLS_THAN_25,0,2014-06-30,PT,-53.5587
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,GROSS_PFT_EBIT,2015,2014,100_N_ABOVE,0,2014-06-30,PT,17.0758
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,726,QFY,GROSS_PFT_EBIT,2015,2014,100_TO_500,0,2014-06-30,PT,-30.3138
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,279,QFY,GROSS_PFT_EBIT,2015,2014,25_TO_50,0,2014-06-30,PT,18.2654
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,GROSS_PFT_EBIT,2015,2014,500_TO_1000,0,2014-06-30,PT,8.6933
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,GROSS_PFT_EBIT,2015,2014,50_TO_100,0,2014-06-30,PT,2.1656
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,GROSS_PFT_EBIT,2015,2014,ALL_COMP,0,2014-06-30,PT,14.7365
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,INT,2015,2014,100_N_ABOVE,0,2014-06-30,PT,2.49
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,726,QFY,INT,2015,2014,100_TO_500,0,2014-06-30,PT,-3.8065
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,279,QFY,INT,2015,2014,25_TO_50,0,2014-06-30,PT,-20.4537
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,INT,2015,2014,500_TO_1000,0,2014-06-30,PT,4.6171
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,INT,2015,2014,50_TO_100,0,2014-06-30,PT,-23.255
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,INT,2015,2014,ALL_COMP,0,2014-06-30,PT,1.3647
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,742,QFY,INT,2015,2014,LES_CLS_THAN_25,0,2014-06-30,PT,5.4109
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,NET_PFT,2015,2014,100_N_ABOVE,0,2014-06-30,PT,27.796
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,726,QFY,NET_PFT,2015,2014,100_TO_500,0,2014-06-30,PT,-6.5571
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,NET_PFT,2015,2014,500_TO_1000,0,2014-06-30,PT,-12.5079
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,NET_PFT,2015,2014,ALL_COMP,0,2014-06-30,PT,27.3166
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,OPR_PFT,2015,2014,100_N_ABOVE,0,2014-06-30,PT,18.1137
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,726,QFY,OPR_PFT,2015,2014,100_TO_500,0,2014-06-30,PT,-15.3057
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,279,QFY,OPR_PFT,2015,2014,25_TO_50,0,2014-06-30,PT,103.3578
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,262,QFY,OPR_PFT,2015,2014,500_TO_1000,0,2014-06-30,PT,13.0693
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,280,QFY,OPR_PFT,2015,2014,50_TO_100,0,2014-06-30,PT,18.1716
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,OPR_PFT,2015,2014,ALL_COMP,0,2014-06-30,PT,16.5481
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,OTH_INC,2015,2014,100_N_ABOVE,0,2014-06-30,PT,-0.656
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,726,QFY,OTH_INC,2015,2014,100_TO_500,0,2014-06-30,PT,-17.8586
