DATAFLOW,AUDST,FREQ,INDS_GRP_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_INDUS_ANN_RN(1.0),N_A,AFY,AGR_REL_ACT,2016,2015,CSH_CVG_RATIO,0,2016-03-31,RPT,2.785611
RBI:RATIO_LNGNFC_INDUS_ANN_RN(1.0),N_A,AFY,AGR_REL_ACT,2016,2015,EBITDA_TO_SAL,0,2016-03-31,RPT,9.9348
RBI:RATIO_LNGNFC_INDUS_ANN_RN(1.0),N_A,AFY,AGR_REL_ACT,2016,2015,INT_BURDEN,0,2016-03-31,RPT,50.159
RBI:RATIO_LNGNFC_INDUS_ANN_RN(1.0),N_A,AFY,AGR_REL_ACT,2016,2015,INT_CVG,0,2016-03-31,RPT,1.993659
RBI:RATIO_LNGNFC_INDUS_ANN_RN(1.0),N_A,AFY,AGR_REL_ACT,2016,2015,INT_TO_SAL,0,2016-03-31,RPT,3.5665
RBI:RATIO_LNGNFC_INDUS_ANN_RN(1.0),N_A,AFY,AGR_REL_ACT,2016,2015,NET_PFT_TO_SAL,0,2016-03-31,RPT,2.4902
RBI:RATIO_LNGNFC_INDUS_ANN_RN(1.0),N_A,AFY,AGR_REL_ACT,2016,2015,OPR_PFTS_TO_SAL,0,2016-03-31,RPT,6.8833
RBI:RATIO_LNGNFC_INDUS_ANN_RN(1.0),N_A,AFY,AGR_REL_ACT,2016,2015,TAX_PROV_TO_EBT,0,2016-03-31,RPT,16.6107
RBI:RATIO_LNGNFC_INDUS_ANN_RN(1.0),N_A,AFY,AGR_REL_ACT_OTH,2016,2015,CSH_CVG_RATIO,0,2016-03-31,RPT,3.967486
RBI:RATIO_LNGNFC_INDUS_ANN_RN(1.0),N_A,AFY,AGR_REL_ACT_OTH,2016,2015,EBITDA_TO_SAL,0,2016-03-31,RPT,11.1138
RBI:RATIO_LNGNFC_INDUS_ANN_RN(1.0),N_A,AFY,AGR_REL_ACT_OTH,2016,2015,INT_BURDEN,0,2016-03-31,RPT,33.2777
RBI:RATIO_LNGNFC_INDUS_ANN_RN(1.0),N_A,AFY,AGR_REL_ACT_OTH,2016,2015,INT_CVG,0,2016-03-31,RPT,3.005017
RBI:RATIO_LNGNFC_INDUS_ANN_RN(1.0),N_A,AFY,AGR_REL_ACT_OTH,2016,2015,INT_TO_SAL,0,2016-03-31,RPT,2.8012
RBI:RATIO_LNGNFC_INDUS_ANN_RN(1.0),N_A,AFY,AGR_REL_ACT_OTH,2016,2015,NET_PFT_TO_SAL,0,2016-03-31,RPT,-0.0658
