DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,2016,2015,CORM_TO_SAL,0,2016-03-31,RPT,51.21391910156
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,2016,2015,CSH_CVG_RATIO,0,2016-03-31,RPT,4.337533614763
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,2016,2015,EBITDA_TO_SAL,0,2016-03-31,RPT,15.186881517514
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,2016,2015,EBIT_TO_SAL,0,2016-03-31,RPT,11.627035485592
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,2016,2015,INT_BURDEN,0,2016-03-31,RPT,30.113189236848
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,2016,2015,INT_CVG,0,2016-03-31,RPT,3.320804024226
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,2016,2015,INT_TO_SAL,0,2016-03-31,RPT,3.501271198412
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,2016,2015,NET_PFT_TO_SAL,0,2016-03-31,RPT,5.29366476913
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,2016,2015,OPR_PFTS_TO_SAL,0,2016-03-31,RPT,12.96552690627
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,2016,2015,OTH_INC_NET_PFT,0,2016-03-31,RPT,41.962510059145
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,2016,2015,SC_TO_SAL,0,2016-03-31,RPT,6.04092987922
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1885,AFY,ICC_MANF,2016,2015,TAX_PROV_TO_EBT,0,2016-03-31,RPT,24.401699249434
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,2016,2015,CSH_CVG_RATIO,0,2016-03-31,RPT,49.695604240946
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,2016,2015,EBITDA_TO_SAL,0,2016-03-31,RPT,31.68009048451
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,2016,2015,EBIT_TO_SAL,0,2016-03-31,RPT,29.263332248482
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,2016,2015,INT_BURDEN,0,2016-03-31,RPT,2.178435269067
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,2016,2015,INT_CVG,0,2016-03-31,RPT,45.904508350535
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,203,AFY,ICC_SRV_IT,2016,2015,INT_TO_SAL,0,2016-03-31,RPT,0.637482750605
