DATAFLOW,AUDST,COMP_COUNT,FREQ,PUC_CLS_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,10_TO_15,2016,2015,CORM_TO_SAL,0,2016-03-31,RPT,54.5695
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,10_TO_15,2016,2015,CSH_CVG_RATIO,0,2016-03-31,RPT,3.693811
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,10_TO_15,2016,2015,EBITDA_TO_SAL,0,2016-03-31,RPT,12.4431
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,10_TO_15,2016,2015,EBIT_TO_SAL,0,2016-03-31,RPT,9.2261
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,10_TO_15,2016,2015,INT_BURDEN,0,2016-03-31,RPT,36.512
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,10_TO_15,2016,2015,INT_CVG,0,2016-03-31,RPT,2.738822
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,10_TO_15,2016,2015,INT_TO_SAL,0,2016-03-31,RPT,3.3686
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,10_TO_15,2016,2015,NET_PFT_TO_SAL,0,2016-03-31,RPT,3.3152
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,10_TO_15,2016,2015,OPR_PFTS_TO_SAL,0,2016-03-31,RPT,10.7565
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,10_TO_15,2016,2015,OTH_INC_NET_PFT,0,2016-03-31,RPT,50.8755
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,10_TO_15,2016,2015,SC_TO_SAL,0,2016-03-31,RPT,8.9726
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,483,AFY,10_TO_15,2016,2015,TAX_PROV_TO_EBT,0,2016-03-31,RPT,26.8936
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,15_TO_25,2016,2015,CORM_TO_SAL,0,2016-03-31,RPT,50.6896
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,15_TO_25,2016,2015,CSH_CVG_RATIO,0,2016-03-31,RPT,3.505432
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,15_TO_25,2016,2015,EBITDA_TO_SAL,0,2016-03-31,RPT,13.1236
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,15_TO_25,2016,2015,EBIT_TO_SAL,0,2016-03-31,RPT,9.8429
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,15_TO_25,2016,2015,INT_BURDEN,0,2016-03-31,RPT,38.0354
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,15_TO_25,2016,2015,INT_CVG,0,2016-03-31,RPT,2.629127
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,15_TO_25,2016,2015,INT_TO_SAL,0,2016-03-31,RPT,3.7438
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,15_TO_25,2016,2015,NET_PFT_TO_SAL,0,2016-03-31,RPT,3.685
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,15_TO_25,2016,2015,OPR_PFTS_TO_SAL,0,2016-03-31,RPT,11.477
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,15_TO_25,2016,2015,OTH_INC_NET_PFT,0,2016-03-31,RPT,44.6856
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,15_TO_25,2016,2015,SC_TO_SAL,0,2016-03-31,RPT,7.8211
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,436,AFY,15_TO_25,2016,2015,TAX_PROV_TO_EBT,0,2016-03-31,RPT,26.0267
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,792,AFY,25_N_ABOVE,2016,2015,CORM_TO_SAL,0,2016-03-31,RPT,48.2415
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,792,AFY,25_N_ABOVE,2016,2015,CSH_CVG_RATIO,0,2016-03-31,RPT,4.282232
