DATAFLOW,AUDST,COMP_COUNT,FREQ,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,2016,2015,100_N_ABOVE,CORM_TO_SAL,0,2016-03-31,RPT,48.3243
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,2016,2015,100_N_ABOVE,CSH_CVG_RATIO,0,2016-03-31,RPT,4.828458
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,2016,2015,100_N_ABOVE,EBITDA_TO_SAL,0,2016-03-31,RPT,19.4597
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,2016,2015,100_N_ABOVE,EBIT_TO_SAL,0,2016-03-31,RPT,15.3919
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,2016,2015,100_N_ABOVE,INT_BURDEN,0,2016-03-31,RPT,26.1839
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,2016,2015,100_N_ABOVE,INT_CVG,0,2016-03-31,RPT,3.819138
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,2016,2015,100_N_ABOVE,INT_TO_SAL,0,2016-03-31,RPT,4.0302
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,2016,2015,100_N_ABOVE,NET_PFT_TO_SAL,0,2016-03-31,RPT,8.1667
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,2016,2015,100_N_ABOVE,OPR_PFTS_TO_SAL,0,2016-03-31,RPT,16.3533
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,2016,2015,100_N_ABOVE,OTH_INC_NET_PFT,0,2016-03-31,RPT,38.0367
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,2016,2015,100_N_ABOVE,SC_TO_SAL,0,2016-03-31,RPT,9.6644
RBI:RATIO_LNGNFC_SAL_ANN_RN(1.0),N_A,470,AFY,2016,2015,100_N_ABOVE,TAX_PROV_TO_EBT,0,2016-03-31,RPT,22.8759
