DATAFLOW,AUDST,COMP_COUNT,FREQ,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,2016,2015,CORM_TO_SAL,0,2016-03-31,RPT,48.974121593404
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,2016,2015,CSH_CVG_RATIO,0,2016-03-31,RPT,4.169730554861
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,2016,2015,EBITDA_TO_SAL,0,2016-03-31,RPT,18.272415445184
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,2016,2015,EBIT_TO_SAL,0,2016-03-31,RPT,14.173443663991
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,2016,2015,INT_BURDEN,0,2016-03-31,RPT,30.918085012242
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,2016,2015,INT_CVG,0,2016-03-31,RPT,3.234352967217
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,2016,2015,INT_TO_SAL,0,2016-03-31,RPT,4.382157361195
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,2016,2015,NET_PFT_TO_SAL,0,2016-03-31,RPT,6.575896557001
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,2016,2015,OPR_PFTS_TO_SAL,0,2016-03-31,RPT,15.202394952678
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,2016,2015,OTH_INC_NET_PFT,0,2016-03-31,RPT,46.685960855593
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,2016,2015,SC_TO_SAL,0,2016-03-31,RPT,9.721457446555
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,2932,AFY,2016,2015,TAX_PROV_TO_EBT,0,2016-03-31,RPT,23.153547508021
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,2017,2016,CORM_TO_SAL,0,2017-03-31,RPT,49.733192965557
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,2017,2016,CSH_CVG_RATIO,0,2017-03-31,RPT,4.175300709665
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,2017,2016,EBITDA_TO_SAL,0,2017-03-31,RPT,18.942498662756
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,2017,2016,EBIT_TO_SAL,0,2017-03-31,RPT,14.551626418516
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,2017,2016,INT_BURDEN,0,2017-03-31,RPT,31.177261764779
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,2017,2016,INT_CVG,0,2017-03-31,RPT,3.207465772795
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,2017,2016,INT_TO_SAL,0,2017-03-31,RPT,4.536798659534
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,2017,2016,NET_PFT_TO_SAL,0,2017-03-31,RPT,6.541151797071
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,2017,2016,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,15.633775332644
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,2017,2016,OTH_INC_NET_PFT,0,2017-03-31,RPT,50.583191351603
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,2017,2016,SC_TO_SAL,0,2017-03-31,RPT,10.56091246606
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3007,AFY,2017,2016,TAX_PROV_TO_EBT,0,2017-03-31,RPT,22.737626922776
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,2018,2017,CORM_TO_SAL,0,2018-03-31,RPT,50.074232413263
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,2018,2017,CSH_CVG_RATIO,0,2018-03-31,RPT,5.154411681714
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,2018,2017,EBITDA_TO_SAL,0,2018-03-31,RPT,18.55003784405
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,2018,2017,EBIT_TO_SAL,0,2018-03-31,RPT,14.501614885319
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,2018,2017,INT_BURDEN,0,2018-03-31,RPT,24.817002807322
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,2018,2017,INT_CVG,0,2018-03-31,RPT,4.029495454241
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,2018,2017,INT_TO_SAL,0,2018-03-31,RPT,3.598866173197
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,2018,2017,NET_PFT_TO_SAL,0,2018-03-31,RPT,6.742165265537
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,2018,2017,OPR_PFTS_TO_SAL,0,2018-03-31,RPT,15.320529176082
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,2018,2017,OTH_INC_NET_PFT,0,2018-03-31,RPT,47.900170654015
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,2018,2017,SC_TO_SAL,0,2018-03-31,RPT,10.478817582703
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3096,AFY,2018,2017,TAX_PROV_TO_EBT,0,2018-03-31,RPT,24.22325359032
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,2019,2018,CORM_TO_SAL,0,2019-03-31,RPT,51.624677672557
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,2019,2018,CSH_CVG_RATIO,0,2019-03-31,RPT,5.959442364993
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,2019,2018,EBITDA_TO_SAL,0,2019-03-31,RPT,18.246610251963
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,2019,2018,EBIT_TO_SAL,0,2019-03-31,RPT,14.62475252075
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,2019,2018,INT_BURDEN,0,2019-03-31,RPT,20.935726971689
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,2019,2018,INT_CVG,0,2019-03-31,RPT,4.776523888338
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,2019,2018,INT_TO_SAL,0,2019-03-31,RPT,3.061798258029
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,2019,2018,NET_PFT_TO_SAL,0,2019-03-31,RPT,7.313110835715
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,2019,2018,OPR_PFTS_TO_SAL,0,2019-03-31,RPT,14.879675740848
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,2019,2018,OTH_INC_NET_PFT,0,2019-03-31,RPT,46.039703031326
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,2019,2018,SC_TO_SAL,0,2019-03-31,RPT,10.000424073546
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3151,AFY,2019,2018,TAX_PROV_TO_EBT,0,2019-03-31,RPT,24.914174042016
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,2020,2019,CORM_TO_SAL,0,2020-03-31,RPT,50.059600394732
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,2020,2019,CSH_CVG_RATIO,0,2020-03-31,RPT,4.613189837113
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,2020,2019,EBITDA_TO_SAL,0,2020-03-31,RPT,18.637728108375
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,2020,2019,EBIT_TO_SAL,0,2020-03-31,RPT,13.497850892635
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,2020,2019,INT_BURDEN,0,2020-03-31,RPT,29.931399181051
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,2020,2019,INT_CVG,0,2020-03-31,RPT,3.340973116396
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,2020,2019,INT_TO_SAL,0,2020-03-31,RPT,4.040095631538
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,2020,2019,NET_PFT_TO_SAL,0,2020-03-31,RPT,3.075339275291
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,2020,2019,OPR_PFTS_TO_SAL,0,2020-03-31,RPT,15.254723165421
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,2020,2019,OTH_INC_NET_PFT,0,2020-03-31,RPT,110.004283759344
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,2020,2019,SC_TO_SAL,0,2020-03-31,RPT,11.356465593421
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3064,AFY,2020,2019,TAX_PROV_TO_EBT,0,2020-03-31,RPT,21.037786034083
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,2021,2020,CORM_TO_SAL,0,2021-03-31,RPT,48.209020600175
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,5.018508568782
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,21.471813575452
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,2021,2020,EBIT_TO_SAL,0,2021-03-31,RPT,16.023942941025
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,2021,2020,INT_BURDEN,0,2021-03-31,RPT,26.700824238933
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,2021,2020,INT_CVG,0,2021-03-31,RPT,3.745202736258
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,4.27852484083
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,7.167369406053
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,17.577458045477
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,2021,2020,OTH_INC_NET_PFT,0,2021-03-31,RPT,54.334516743141
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,2021,2020,SC_TO_SAL,0,2021-03-31,RPT,12.111951215059
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,20.387172149511
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,2022,2021,CORM_TO_SAL,0,2022-03-31,RPT,53.170594652402
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,2022,2021,CSH_CVG_RATIO,0,2022-03-31,RPT,6.698174441162
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,2022,2021,EBITDA_TO_SAL,0,2022-03-31,RPT,19.924290087705
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,2022,2021,EBIT_TO_SAL,0,2022-03-31,RPT,15.644861800871
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,2022,2021,INT_BURDEN,0,2022-03-31,RPT,19.013176130251
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,2022,2021,INT_CVG,0,2022-03-31,RPT,5.259510526539
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,2022,2021,INT_TO_SAL,0,2022-03-31,RPT,2.974585129534
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,2022,2021,NET_PFT_TO_SAL,0,2022-03-31,RPT,9.508068089769
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,2022,2021,OPR_PFTS_TO_SAL,0,2022-03-31,RPT,17.001724011886
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,2022,2021,OTH_INC_NET_PFT,0,2022-03-31,RPT,30.737748701694
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,2022,2021,SC_TO_SAL,0,2022-03-31,RPT,10.396148914834
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3166,AFY,2022,2021,TAX_PROV_TO_EBT,0,2022-03-31,RPT,20.612360083724
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3115,AFY,2023,2022,CORM_TO_SAL,0,2023-03-31,RPT,53.47137882661
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3115,AFY,2023,2022,CSH_CVG_RATIO,0,2023-03-31,RPT,6.37421621469
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3115,AFY,2023,2022,EBITDA_TO_SAL,0,2023-03-31,RPT,17.514985626989
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3115,AFY,2023,2022,EBIT_TO_SAL,0,2023-03-31,RPT,13.707506362515
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3115,AFY,2023,2022,INT_BURDEN,0,2023-03-31,RPT,20.045852866775
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3115,AFY,2023,2022,INT_CVG,0,2023-03-31,RPT,4.988563004258
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3115,AFY,2023,2022,INT_TO_SAL,0,2023-03-31,RPT,2.747786557134
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3115,AFY,2023,2022,NET_PFT_TO_SAL,0,2023-03-31,RPT,8.107197968161
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3115,AFY,2023,2022,OPR_PFTS_TO_SAL,0,2023-03-31,RPT,14.72542702667
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3115,AFY,2023,2022,OTH_INC_NET_PFT,0,2023-03-31,RPT,34.408418435992
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3115,AFY,2023,2022,SC_TO_SAL,0,2023-03-31,RPT,10.116351854123
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3115,AFY,2023,2022,TAX_PROV_TO_EBT,0,2023-03-31,RPT,21.489863883326
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3281,AFY,2024,2023,CORM_TO_SAL,0,2024-03-31,RPT,51.104274214526
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3281,AFY,2024,2023,CSH_CVG_RATIO,0,2024-03-31,RPT,6.722683656831
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3281,AFY,2024,2023,EBITDA_TO_SAL,0,2024-03-31,RPT,18.967908245646
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3281,AFY,2024,2023,EBIT_TO_SAL,0,2024-03-31,RPT,14.967789715875
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3281,AFY,2024,2023,INT_BURDEN,0,2024-03-31,RPT,18.850335816717
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3281,AFY,2024,2023,INT_CVG,0,2024-03-31,RPT,5.304945279082
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3281,AFY,2024,2023,INT_TO_SAL,0,2024-03-31,RPT,2.821478625783
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3281,AFY,2024,2023,NET_PFT_TO_SAL,0,2024-03-31,RPT,8.992176409543
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3281,AFY,2024,2023,OPR_PFTS_TO_SAL,0,2024-03-31,RPT,16.040178132897
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3281,AFY,2024,2023,OTH_INC_NET_PFT,0,2024-03-31,RPT,32.55863741332
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3281,AFY,2024,2023,SC_TO_SAL,0,2024-03-31,RPT,10.55796828063
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3281,AFY,2024,2023,TAX_PROV_TO_EBT,0,2024-03-31,RPT,21.041409904475
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3902,AFY,2025,2024,CORM_TO_SAL,0,2025-03-31,RPT,52.125473331166
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3902,AFY,2025,2024,CSH_CVG_RATIO,0,2025-03-31,RPT,7.025953374731
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3902,AFY,2025,2024,EBITDA_TO_SAL,0,2025-03-31,RPT,19.416950504362
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3902,AFY,2025,2024,EBIT_TO_SAL,0,2025-03-31,RPT,15.438919285628
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3902,AFY,2025,2024,INT_BURDEN,0,2025-03-31,RPT,17.900240392395
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3902,AFY,2025,2024,INT_CVG,0,2025-03-31,RPT,5.586517153283
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3902,AFY,2025,2024,INT_TO_SAL,0,2025-03-31,RPT,2.763603666115
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3902,AFY,2025,2024,NET_PFT_TO_SAL,0,2025-03-31,RPT,10.263766810093
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3902,AFY,2025,2024,OPR_PFTS_TO_SAL,0,2025-03-31,RPT,16.257013706614
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3902,AFY,2025,2024,OTH_INC_NET_PFT,0,2025-03-31,RPT,30.787301155754
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3902,AFY,2025,2024,SC_TO_SAL,0,2025-03-31,RPT,10.441370939914
RBI:RATIO_LNGNFC_ANN_RN(1.0),N_A,3902,AFY,2025,2024,TAX_PROV_TO_EBT,0,2025-03-31,RPT,20.35829497646
