DATAFLOW,AUDST,COMP_COUNT,FREQ,INDS_GRP_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,33,QFY,AGR_REL_ACT,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,-2.773
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,33,QFY,AGR_REL_ACT,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,3.1748
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,33,QFY,AGR_REL_ACT,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,-8.4898
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,33,QFY,AGR_REL_ACT,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,-5.0693
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,33,QFY,AGR_REL_ACT,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,10.8172
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,20,QFY,AGR_REL_ACT_OTH,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,5.690831
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,20,QFY,AGR_REL_ACT_OTH,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,8.9141
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,20,QFY,AGR_REL_ACT_OTH,2021,2020,INT_BURDEN,0,2021-03-31,RPT,22.2804
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,20,QFY,AGR_REL_ACT_OTH,2021,2020,INT_CVG,0,2021-03-31,RPT,4.488245
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,20,QFY,AGR_REL_ACT_OTH,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,1.5664
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,20,QFY,AGR_REL_ACT_OTH,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,3.8227
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,20,QFY,AGR_REL_ACT_OTH,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,7.2434
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,20,QFY,AGR_REL_ACT_OTH,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,17.7205
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,13,QFY,ARA_TCP,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,-30.6617
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,13,QFY,ARA_TCP,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,7.0129
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,13,QFY,ARA_TCP,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,-37.8709
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,13,QFY,ARA_TCP,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,-34.4509
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,13,QFY,ARA_TCP,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,1.7486
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,137,QFY,CONSTRN,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,2.174724
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,137,QFY,CONSTRN,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,14.0248
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,137,QFY,CONSTRN,2021,2020,INT_BURDEN,0,2021-03-31,RPT,52.8534
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,137,QFY,CONSTRN,2021,2020,INT_CVG,0,2021-03-31,RPT,1.892027
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,137,QFY,CONSTRN,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,6.449
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,137,QFY,CONSTRN,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,2.6707
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,137,QFY,CONSTRN,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,10.7853
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,137,QFY,CONSTRN,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,24.4296
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,26,QFY,ELC_GAS_SPLY,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,3.148268
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,26,QFY,ELC_GAS_SPLY,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,29.9332
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,26,QFY,ELC_GAS_SPLY,2021,2020,INT_BURDEN,0,2021-03-31,RPT,41.8958
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,26,QFY,ELC_GAS_SPLY,2021,2020,INT_CVG,0,2021-03-31,RPT,2.386875
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,26,QFY,ELC_GAS_SPLY,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,9.5078
