DATAFLOW,AUDST,COMP_COUNT,FREQ,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,2015,2014,100_N_ABOVE,CORM_TO_SAL,0,2014-06-30,RPT,56.1937
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,2015,2014,100_N_ABOVE,CSH_CVG_RATIO,0,2014-06-30,RPT,5.270191
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,2015,2014,100_N_ABOVE,EBITDA_TO_SAL,0,2014-06-30,RPT,17.2831
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,2015,2014,100_N_ABOVE,EBIT_TO_SAL,0,2014-06-30,RPT,13.7131
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,2015,2014,100_N_ABOVE,INT_BURDEN,0,2014-06-30,RPT,23.9144
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,2015,2014,100_N_ABOVE,INT_CVG,0,2014-06-30,RPT,4.181582
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,2015,2014,100_N_ABOVE,INT_TO_SAL,0,2014-06-30,RPT,3.2794
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,2015,2014,100_N_ABOVE,NET_PFT_TO_SAL,0,2014-06-30,RPT,7.7636
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,2015,2014,100_N_ABOVE,OPR_PFTS_TO_SAL,0,2014-06-30,RPT,14.7794
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,2015,2014,100_N_ABOVE,OTH_INC_NET_PFT,0,2014-06-30,RPT,32.2496
RBI:RATIO_LNGNFC_SAL_QTR_RN(1.0),N_A,466,QFY,2015,2014,100_N_ABOVE,SC_TO_SAL,0,2014-06-30,RPT,7.6878
