DATAFLOW,ACT_CAT_RN,AUDST,BAL_SHT_ITMS_RN,COMP_COUNT,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_CCE,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,935037000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_CCE,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,850268000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_CCE,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,795130000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_CCE_BWB,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,792497000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_CCE_BWB,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,785887000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_CCE_BWB,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,735226000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_CCE_CD_OH,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,70910000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_CCE_CD_OH,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,19101000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_CCE_CD_OH,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,15154000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_CI,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,392439000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_CI,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,358771000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_CI,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,276071000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_CI_DWG,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,72859000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_CI_DWG,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,30384000000
