DATAFLOW,ACT_CAT_RN,AUDST,BAL_SHT_ITMS_RN,COMP_COUNT,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_NON_CURR_LIA,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,4814490000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_NON_CURR_LIA,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,4272079000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_NON_CURR_LIA,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,3424321000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SAMPA,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,18734000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SAMPA,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,18889000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SAMPA,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,19631000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_MNY_RCV_SHARE_WRRNT,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,8673000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_MNY_RCV_SHARE_WRRNT,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,8751000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_MNY_RCV_SHARE_WRRNT,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,10157000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RES_SRPLS,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,3086183000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RES_SRPLS,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,2843272000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RES_SRPLS,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,2401735000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RS_CAP_RSV,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,1496840000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RS_CAP_RSV,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,1420328000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RS_CAP_RSV,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,1217329000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RS_CR_SPR,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,1226844000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RS_CR_SPR,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,1198872000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RS_CR_SPR,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,1012405000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RS_CR_SPR_OTH,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,269996000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RS_CR_SPR_OTH,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,221456000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RS_CR_SPR_OTH,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,204924000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RS_DRS,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,21243000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RS_DRS,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,9902000000
