DATAFLOW,ACT_CAT_RN,AUDST,COMP_COUNT,FINC_RATIOS_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_BNK_BRRW_TTL_BRRW,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,33.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_BNK_BRRW_TTL_BRRW,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,33.4
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_BNK_BRRW_TTL_BRRW,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,38.3
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_BRRW_TTL_NET_AST,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,46.8
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_BRRW_TTL_NET_AST,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,47.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_BRRW_TTL_NET_AST,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,47.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_DEBT_EQU,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,112.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_DEBT_EQU,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,108.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_DEBT_EQU,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,102.4
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_NET_WRT_TTL_NET_AST,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,29.7
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_NET_WRT_TTL_NET_AST,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,30.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_NET_WRT_TTL_NET_AST,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,31.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_TTL_OLIB_NET_WRT,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,236.6
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_TTL_OLIB_NET_WRT,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,227.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,CSR_TTL_OLIB_NET_WRT,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,221.4
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_DIV_EBT,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,32.4
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_DIV_EBT,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,33.3
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_DIV_EBT,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,26.4
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_DIV_NET_PFT,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,48.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_DIV_NET_PFT,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,50.6
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_DIV_NET_PFT,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,42.4
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_PFT_RET_EBT,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,35.0
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_PFT_RET_EBT,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,32.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_PFT_RET_EBT,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,35.9
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_PFT_RET_NET_PFT,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,51.9
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_PFT_RET_NET_PFT,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,49.4
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_PFT_RET_NET_PFT,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,57.6
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_TP_EBT,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,32.6
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_TP_EBT,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,34.2
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PAR_TP_EBT,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,37.8
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_DIV_NET_WRT,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,3.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_DIV_NET_WRT,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,3.4
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_DIV_NET_WRT,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,2.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_DIV_TTL_PUSC,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,14.8
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_DIV_TTL_PUSC,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,14.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_DIV_TTL_PUSC,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,10.4
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_NET_PFT_NET_WRT,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,7.3
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_NET_PFT_NET_WRT,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,6.6
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_NET_PFT_NET_WRT,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,5.8
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_NET_PFT_TTL_NET_AST,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,2.2
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_NET_PFT_TTL_NET_AST,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,2.0
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_NET_PFT_TTL_NET_AST,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,1.8
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_OP_PFT_FIN_INC,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,26.4
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_OP_PFT_FIN_INC,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,26.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_OP_PFT_FIN_INC,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,25.3
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_OP_PFT_NET_AST,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,3.4
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_OP_PFT_NET_AST,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,3.3
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,PR_OP_PFT_NET_AST,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,3.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,CSR_BNK_BRRW_TTL_BRRW,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,22.9
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,CSR_BNK_BRRW_TTL_BRRW,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,28.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,CSR_BNK_BRRW_TTL_BRRW,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,32.7
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,CSR_BRRW_TTL_NET_AST,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,61.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,CSR_BRRW_TTL_NET_AST,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,58.7
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,CSR_BRRW_TTL_NET_AST,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,58.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,CSR_DEBT_EQU,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,221.8
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,CSR_DEBT_EQU,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,200.6
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,CSR_DEBT_EQU,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,181.3
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,CSR_NET_WRT_TTL_NET_AST,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,21.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,CSR_NET_WRT_TTL_NET_AST,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,22.4
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,CSR_NET_WRT_TTL_NET_AST,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,24.1
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,CSR_TTL_OLIB_NET_WRT,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,373.3
