DATAFLOW,ACT_CAT_RN,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_BORRW,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,11.3
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_BORRW,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,19.7
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_BORRW_BNKS,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,10.2
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_BORRW_BNKS,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,4.5
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_DEP_PROV,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,6.9
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_DEP_PROV,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,11.9
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_DIV_PAID,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,13.2
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_DIV_PAID,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,61.1
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_EBT,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,16.3
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_EBT,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,27.7
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_EBT_NOSD,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,15.5
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_EBT_NOSD,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,28.7
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_EMP_REM,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,12.1
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_EMP_REM,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,14.4
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_FIN_INC,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,13.6
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_FIN_INC,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,23.3
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_FI_DIV_RCV,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,14.3
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_FI_DIV_RCV,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,3.9
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_FI_INT_RCV,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,15.3
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_FI_INT_RCV,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,27.1
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_INT_PYT,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,18.6
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_INT_PYT,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,30.9
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_INVS,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,4.9
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_INVS,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,15.8
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_LNA,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,15.9
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_LNA,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,26.6
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_NET_PFT,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,19.1
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_NET_PFT,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,35.0
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_NET_WRT,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,9.1
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_NET_WRT,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,17.6
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_NFI,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,-6.8
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_NFI,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,-11.8
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_NOSD,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,150.1
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_NOSD,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,-43.6
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_OP_EBDT,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,14.8
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_OP_EBDT,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,27.3
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_PRF_RET,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,25.1
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_PRF_RET,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,15.8
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_TAX_PRV,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,10.8
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_TAX_PRV,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,15.7
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_TTL_EXP,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,12.9
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_TTL_EXP,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,21.4
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,GRP_TTL_INC,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,13.7
