DATAFLOW,AUDST,BAL_SHT_ITMS_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_MIS_NON_CUR_LIAB,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,35000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_MIS_NON_CUR_LIAB,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,99000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_MIS_NON_CUR_LIAB,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,2000000.0
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_PROV,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,50097000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_PROV,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,37304000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_PROV,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,45614000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,495772000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,348411000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,444668000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_BRW,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,627598000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_BRW,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,458555000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_BRW,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,545899000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_DEB,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,20775000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_DEB,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,10343000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_DEB,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,16900000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_DP,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,683000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_DP,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,947000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_DP,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,1158000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_LAA,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,604721000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_LAA,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,445595000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_LAA,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,521633000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_PD,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,1420000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_PD,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,1669000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_PD,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,6208000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_SF,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,23000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_SF,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,1112000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RES_SRPLS_SF,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,53000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_CAP_RSV,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,174621000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_CAP_RSV,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,125682000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_CAP_RSV,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,155344000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_CAP_RSV_SHARES,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,144341000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_CAP_RSV_SHARES,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,105826000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_CAP_RSV_SHARES,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,129803000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_CR_SPR_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,174621000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_CR_SPR_OTH,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,125682000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_CR_SPR_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,155344000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_IAR,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,78000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_IAR,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,70000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_IAR,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,79000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_OTH_RES,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,321050000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_OTH_RES,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,221547000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_RS_OTH_RES,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,289192000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_SC_FS,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,5000000.0
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_SC_FS,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,12000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_SC_FS,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,1000000.0
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_SC_ORD,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,323392000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_SC_ORD,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,281994000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_SC_ORD,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,292246000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_SC_ORD_BONUS,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,6169000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_SC_ORD_BONUS,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,6177000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_SC_ORD_BONUS,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,6234000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_SC_ORD_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,317223000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_SC_ORD_OTH,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,275817000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_SC_ORD_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,286012000000
RBI:BAL_SHT_PVT_RN(1.0),N_A,CAP_SF_SC_PREF,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,27266000000
