DATAFLOW,AUDST,EAR_EXP_FC_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FC_EG,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,17125700000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FC_EG,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,13423400000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FC_EG,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,16780600000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FC_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,12411000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FC_OTH,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,6535900000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FC_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,8289900000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FRG_CURR,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,29536700000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FRG_CURR,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,19959300000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FRG_CURR,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,25070500000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_CG,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,1322200000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_CG,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,1955600000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_CG,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,1633500000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_CSP,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,1667800000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_CSP,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,1618500000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_CSP,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,1834900000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_FRG_CURR,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,31728000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_FRG_CURR,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,24311700000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_FRG_CURR,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,30711600000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_OEFC,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,6226100000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_OEFC,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,4717200000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_OEFC,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,4620700000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_RM,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,14911900000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_RM,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,11711400000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_RM,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,16324600000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_VAL_IMP,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,25501900000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_VAL_IMP,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,19594500000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_VAL_IMP,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,26090900000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_VAL_IMP_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,7600000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_VAL_IMP_OTH,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,4309000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_VAL_IMP_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,6297900000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,NET_INF_OF_FC,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,-2191300000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,NET_INF_OF_FC,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,-4352400000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,NET_INF_OF_FC,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,-5641100000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FC_EG,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,213605000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FC_EG,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,150065000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FC_EG,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,192037000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FC_OTH,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,141409000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FC_OTH,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,104023000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FC_OTH,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,114946000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FRG_CURR,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,355014000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FRG_CURR,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,254088000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EAR_FRG_CURR,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,306983000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_CG,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,51406000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_CG,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,14732000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_CG,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,24140000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_CSP,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,26222000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_CSP,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,15817000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_CSP,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,31262000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_FRG_CURR,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,296982000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_FRG_CURR,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,234656000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_FRG_CURR,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,282133000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_OEFC,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,41215000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_OEFC,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,43831000000
RBI:EAR_EXP_FC_PVT_RN(1.0),N_A,EXP_OEFC,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,44816000000
