DATAFLOW,AUDST,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,AUTR_EXP_SAL,0,2012-03-31,PT,8.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,AUTR_GVA_GFA,0,2012-03-31,PT,50.9
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,AUTR_INV_SAL,0,2012-03-31,PT,16.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,AUTR_RM_CON_TO_VP,0,2012-03-31,PT,57.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,AUTR_SAL_GFA,0,2012-03-31,PT,225.0
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,AUTR_SAL_TNA,0,2012-03-31,PT,102.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,AUTR_SD_TO_SL,0,2012-03-31,PT,16.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,CSR_DEB_EQT,0,2012-03-31,PT,35.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,CSR_DTE_ADJ,0,2012-03-31,PT,36.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,CSR_NFA_TNA,0,2012-03-31,PT,29.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,CSR_NW_TNA,0,2012-03-31,PT,41.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,CSR_STBB_INV,0,2012-03-31,PT,63.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,CSR_TOL_TNW,0,2012-03-31,PT,143.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,LR_CA_CL,0,2012-03-31,PT,1.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,LR_CA_TNA,0,2012-03-31,PT,56.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,LR_QA_CL,0,2012-03-31,PT,56.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,LR_SC_TO_CA,0,2012-03-31,PT,25.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,LR_SC_TO_NWC,0,2012-03-31,PT,108.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,PPAR_DIV_NW,0,2012-03-31,PT,1.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,PPAR_EBD_SAL,0,2012-03-31,PT,8.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,PPAR_GP_SAL,0,2012-03-31,PT,7.4
