DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,IND_CLASF_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,65,AFY,GRP_DESC_PROV,CONSTRN,CURR_YR,2012,2011,0,2012-03-31,PT,22.9
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,65,AFY,GRP_DESC_PROV,CONSTRN,PREV_YR,2012,2011,0,2012-03-31,PT,12.7
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,1741,AFY,GRP_DESC_PROV,ICC_ALL_INDS,CURR_YR,2012,2011,0,2012-03-31,PT,14.6
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,1741,AFY,GRP_DESC_PROV,ICC_ALL_INDS,PREV_YR,2012,2011,0,2012-03-31,PT,14.1
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,111,AFY,GRP_DESC_PROV,ICC_MCH_TOOLS,CURR_YR,2012,2011,0,2012-03-31,PT,19.3
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,111,AFY,GRP_DESC_PROV,ICC_MCH_TOOLS,PREV_YR,2012,2011,0,2012-03-31,PT,9.0
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,987,AFY,GRP_DESC_PROV,ICC_MFG,CURR_YR,2012,2011,0,2012-03-31,PT,8.0
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,987,AFY,GRP_DESC_PROV,ICC_MFG,PREV_YR,2012,2011,0,2012-03-31,PT,15.4
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,37,AFY,GRP_DESC_PROV,ICC_MFG_BAS_CHEM,CURR_YR,2012,2011,0,2012-03-31,PT,6.0
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,37,AFY,GRP_DESC_PROV,ICC_MFG_BAS_CHEM,PREV_YR,2012,2011,0,2012-03-31,PT,6.8
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,149,AFY,GRP_DESC_PROV,ICC_MFG_CHEM_CD,CURR_YR,2012,2011,0,2012-03-31,PT,-3.5
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,149,AFY,GRP_DESC_PROV,ICC_MFG_CHEM_CD,PREV_YR,2012,2011,0,2012-03-31,PT,6.2
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,57,AFY,GRP_DESC_PROV,ICC_MFG_EM_APPR,CURR_YR,2012,2011,0,2012-03-31,PT,1.5
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,57,AFY,GRP_DESC_PROV,ICC_MFG_EM_APPR,PREV_YR,2012,2011,0,2012-03-31,PT,15.0
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,48,AFY,GRP_DESC_PROV,ICC_MFG_FM_PROD_EXC_ME,CURR_YR,2012,2011,0,2012-03-31,PT,14.7
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,48,AFY,GRP_DESC_PROV,ICC_MFG_FM_PROD_EXC_ME,PREV_YR,2012,2011,0,2012-03-31,PT,13.5
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,95,AFY,GRP_DESC_PROV,ICC_MFG_FP_BV,CURR_YR,2012,2011,0,2012-03-31,PT,7.7
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,95,AFY,GRP_DESC_PROV,ICC_MFG_FP_BV,PREV_YR,2012,2011,0,2012-03-31,PT,16.0
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,60,AFY,GRP_DESC_PROV,ICC_MFG_IRON_STL,CURR_YR,2012,2011,0,2012-03-31,PT,10.7
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,60,AFY,GRP_DESC_PROV,ICC_MFG_IRON_STL,PREV_YR,2012,2011,0,2012-03-31,PT,4.4
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,24,AFY,GRP_DESC_PROV,ICC_MFG_MP_SI,CURR_YR,2012,2011,0,2012-03-31,PT,15.7
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,24,AFY,GRP_DESC_PROV,ICC_MFG_MP_SI,PREV_YR,2012,2011,0,2012-03-31,PT,26.0
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,70,AFY,GRP_DESC_PROV,ICC_MFG_MTR_VEH_OTH_TRAN,CURR_YR,2012,2011,0,2012-03-31,PT,6.9
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,70,AFY,GRP_DESC_PROV,ICC_MFG_MTR_VEH_OTH_TRAN,PREV_YR,2012,2011,0,2012-03-31,PT,37.3
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,35,AFY,GRP_DESC_PROV,ICC_MFG_PLAS_PROD,CURR_YR,2012,2011,0,2012-03-31,PT,26.7
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,35,AFY,GRP_DESC_PROV,ICC_MFG_PLAS_PROD,PREV_YR,2012,2011,0,2012-03-31,PT,33.2
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,29,AFY,GRP_DESC_PROV,ICC_MFG_PPR_PD,CURR_YR,2012,2011,0,2012-03-31,PT,11.5
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,29,AFY,GRP_DESC_PROV,ICC_MFG_PPR_PD,PREV_YR,2012,2011,0,2012-03-31,PT,-10.2
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,67,AFY,GRP_DESC_PROV,ICC_MFG_RUB_PLAS_PROD,CURR_YR,2012,2011,0,2012-03-31,PT,25.6
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,67,AFY,GRP_DESC_PROV,ICC_MFG_RUB_PLAS_PROD,PREV_YR,2012,2011,0,2012-03-31,PT,39.2
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,51,AFY,GRP_DESC_PROV,ICC_MFG_TXTS,CURR_YR,2012,2011,0,2012-03-31,PT,-1.8
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,51,AFY,GRP_DESC_PROV,ICC_MFG_TXTS,PREV_YR,2012,2011,0,2012-03-31,PT,32.1
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,21,AFY,GRP_DESC_PROV,ICC_MFG_WEAR_APP,CURR_YR,2012,2011,0,2012-03-31,PT,16.5
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,21,AFY,GRP_DESC_PROV,ICC_MFG_WEAR_APP,PREV_YR,2012,2011,0,2012-03-31,PT,11.4
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,35,AFY,GRP_DESC_PROV,ICC_MIN_QUR,CURR_YR,2012,2011,0,2012-03-31,PT,21.8
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,35,AFY,GRP_DESC_PROV,ICC_MIN_QUR,PREV_YR,2012,2011,0,2012-03-31,PT,-34.9
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,40,AFY,GRP_DESC_PROV,ICC_PHARM_MEDS,CURR_YR,2012,2011,0,2012-03-31,PT,-12.7
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,40,AFY,GRP_DESC_PROV,ICC_PHARM_MEDS,PREV_YR,2012,2011,0,2012-03-31,PT,7.8
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,564,AFY,GRP_DESC_PROV,ICC_SRV,CURR_YR,2012,2011,0,2012-03-31,PT,21.7
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,564,AFY,GRP_DESC_PROV,ICC_SRV,PREV_YR,2012,2011,0,2012-03-31,PT,14.9
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,82,AFY,GRP_DESC_PROV,ICC_SRV_CRA,CURR_YR,2012,2011,0,2012-03-31,PT,34.0
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,82,AFY,GRP_DESC_PROV,ICC_SRV_CRA,PREV_YR,2012,2011,0,2012-03-31,PT,-5.1
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,64,AFY,GRP_DESC_PROV,ICC_SRV_HOTL_REST,CURR_YR,2012,2011,0,2012-03-31,PT,15.8
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,64,AFY,GRP_DESC_PROV,ICC_SRV_HOTL_REST,PREV_YR,2012,2011,0,2012-03-31,PT,3.1
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,57,AFY,GRP_DESC_PROV,ICC_SRV_RE,CURR_YR,2012,2011,0,2012-03-31,PT,-2.8
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,57,AFY,GRP_DESC_PROV,ICC_SRV_RE,PREV_YR,2012,2011,0,2012-03-31,PT,30.0
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,52,AFY,GRP_DESC_PROV,ICC_SRV_TSS,CURR_YR,2012,2011,0,2012-03-31,PT,7.0
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,52,AFY,GRP_DESC_PROV,ICC_SRV_TSS,PREV_YR,2012,2011,0,2012-03-31,PT,6.9
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,99,AFY,GRP_DESC_PROV,ICC_SRV_WHL_RET_TRD,CURR_YR,2012,2011,0,2012-03-31,PT,3.8
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,99,AFY,GRP_DESC_PROV,ICC_SRV_WHL_RET_TRD,PREV_YR,2012,2011,0,2012-03-31,PT,-6.4
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,19,AFY,GRP_DESC_PROV,ICC_TEA_PLANT,CURR_YR,2012,2011,0,2012-03-31,PT,9.9
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,19,AFY,GRP_DESC_PROV,ICC_TEA_PLANT,PREV_YR,2012,2011,0,2012-03-31,PT,4.0
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,65,AFY,GRP_DIV_PAID,CONSTRN,CURR_YR,2012,2011,0,2012-03-31,PT,-41.3
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,65,AFY,GRP_DIV_PAID,CONSTRN,PREV_YR,2012,2011,0,2012-03-31,PT,48.5
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,1741,AFY,GRP_DIV_PAID,ICC_ALL_INDS,CURR_YR,2012,2011,0,2012-03-31,PT,-23.7
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,1741,AFY,GRP_DIV_PAID,ICC_ALL_INDS,PREV_YR,2012,2011,0,2012-03-31,PT,20.7
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,111,AFY,GRP_DIV_PAID,ICC_MCH_TOOLS,CURR_YR,2012,2011,0,2012-03-31,PT,-14.5
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,111,AFY,GRP_DIV_PAID,ICC_MCH_TOOLS,PREV_YR,2012,2011,0,2012-03-31,PT,-62.3
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,987,AFY,GRP_DIV_PAID,ICC_MFG,CURR_YR,2012,2011,0,2012-03-31,PT,32.2
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,987,AFY,GRP_DIV_PAID,ICC_MFG,PREV_YR,2012,2011,0,2012-03-31,PT,-14.4
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,37,AFY,GRP_DIV_PAID,ICC_MFG_BAS_CHEM,CURR_YR,2012,2011,0,2012-03-31,PT,-4.4
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,37,AFY,GRP_DIV_PAID,ICC_MFG_BAS_CHEM,PREV_YR,2012,2011,0,2012-03-31,PT,160.5
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,149,AFY,GRP_DIV_PAID,ICC_MFG_CHEM_CD,CURR_YR,2012,2011,0,2012-03-31,PT,-0.7
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,149,AFY,GRP_DIV_PAID,ICC_MFG_CHEM_CD,PREV_YR,2012,2011,0,2012-03-31,PT,-48.1
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,57,AFY,GRP_DIV_PAID,ICC_MFG_EM_APPR,CURR_YR,2012,2011,0,2012-03-31,PT,-2.0
RBI:GRWT_RT_INDC_PVT_IND_RN(1.0),N_A,57,AFY,GRP_DIV_PAID,ICC_MFG_EM_APPR,PREV_YR,2012,2011,0,2012-03-31,PT,24.8
