DATAFLOW,AUDST,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_DESC_PROV,CURR_YR,2012,2011,0,2012-03-31,PT,14.6
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_DESC_PROV,PREV_YR,2012,2011,0,2012-03-31,PT,14.1
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_DIV_PAID,CURR_YR,2012,2011,0,2012-03-31,PT,-23.7
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_DIV_PAID,PREV_YR,2012,2011,0,2012-03-31,PT,20.7
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_EBIT,CURR_YR,2012,2011,0,2012-03-31,PT,1.0
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_EBIT,PREV_YR,2012,2011,0,2012-03-31,PT,22.3
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_EBITDA,CURR_YR,2012,2011,0,2012-03-31,PT,9.5
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_EBITDA,PREV_YR,2012,2011,0,2012-03-31,PT,28.2
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_GFA,CURR_YR,2012,2011,0,2012-03-31,PT,10.4
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_GFA,PREV_YR,2012,2011,0,2012-03-31,PT,13.3
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_GRS_SAV,CURR_YR,2012,2011,0,2012-03-31,PT,-5.8
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_GRS_SAV,PREV_YR,2012,2011,0,2012-03-31,PT,21.6
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_GVA,CURR_YR,2012,2011,0,2012-03-31,PT,13.3
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_GVA,PREV_YR,2012,2011,0,2012-03-31,PT,20.4
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_INT_EXP,CURR_YR,2012,2011,0,2012-03-31,PT,35.3
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_INT_EXP,PREV_YR,2012,2011,0,2012-03-31,PT,16.8
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_INVN,CURR_YR,2012,2011,0,2012-03-31,PT,15.2
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_INVN,PREV_YR,2012,2011,0,2012-03-31,PT,25.8
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_INV_GRS_PHY_AST,CURR_YR,2012,2011,0,2012-03-31,PT,11.7
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_INV_GRS_PHY_AST,PREV_YR,2012,2011,0,2012-03-31,PT,16.3
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_INV_NET_PHY_AST,CURR_YR,2012,2011,0,2012-03-31,PT,9.9
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_INV_NET_PHY_AST,PREV_YR,2012,2011,0,2012-03-31,PT,15.3
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NET_WRT,CURR_YR,2012,2011,0,2012-03-31,PT,10.3
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NET_WRT,PREV_YR,2012,2011,0,2012-03-31,PT,15.4
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NFA,CURR_YR,2012,2011,0,2012-03-31,PT,7.3
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NFA,PREV_YR,2012,2011,0,2012-03-31,PT,10.6
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NON_OP_SD,CURR_YR,2012,2011,0,2012-03-31,PT,-36.4
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NON_OP_SD,PREV_YR,2012,2011,0,2012-03-31,PT,50.4
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NVA,CURR_YR,2012,2011,0,2012-03-31,PT,13.0
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_NVA,PREV_YR,2012,2011,0,2012-03-31,PT,21.6
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_OP_EXP,CURR_YR,2012,2011,0,2012-03-31,PT,19.7
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_OP_EXP,PREV_YR,2012,2011,0,2012-03-31,PT,20.2
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_PAT,CURR_YR,2012,2011,0,2012-03-31,PT,-25.3
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_PAT,PREV_YR,2012,2011,0,2012-03-31,PT,27.6
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_PBT,CURR_YR,2012,2011,0,2012-03-31,PT,-14.8
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_PBT,PREV_YR,2012,2011,0,2012-03-31,PT,27.0
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_PBT_NON_OP_SD,CURR_YR,2012,2011,0,2012-03-31,PT,-11.9
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_PBT_NON_OP_SD,PREV_YR,2012,2011,0,2012-03-31,PT,24.5
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_PFT_RET,CURR_YR,2012,2011,0,2012-03-31,PT,-25.8
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_PFT_RET,PREV_YR,2012,2011,0,2012-03-31,PT,30.1
