DATAFLOW,AUDST,FREQ,PFT_LOSS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_ADV,CURR_YR,2012,2011,0,2012-03-31,INR,20738000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_ADV,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,15370000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_ADV,PREV_YR,2012,2011,0,2012-03-31,INR,20603000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_BAD_DBT,CURR_YR,2012,2011,0,2012-03-31,INR,4865000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_BAD_DBT,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,5460000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_BAD_DBT,PREV_YR,2012,2011,0,2012-03-31,INR,4801000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_DEP_PROV,CURR_YR,2012,2011,0,2012-03-31,INR,67078000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_DEP_PROV,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,51271000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_DEP_PROV,PREV_YR,2012,2011,0,2012-03-31,INR,58513000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_DIV,CURR_YR,2012,2011,0,2012-03-31,INR,14238000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_DIV,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,15453000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_DIV,PREV_YR,2012,2011,0,2012-03-31,INR,18656000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_DIV_ORD,CURR_YR,2012,2011,0,2012-03-31,INR,14085000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_DIV_ORD,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,15329000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_DIV_ORD,PREV_YR,2012,2011,0,2012-03-31,INR,18390000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_DIV_PRE,CURR_YR,2012,2011,0,2012-03-31,INR,153000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_DIV_PRE,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,124000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_DIV_PRE,PREV_YR,2012,2011,0,2012-03-31,INR,266000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_EBI,CURR_YR,2012,2011,0,2012-03-31,INR,172253000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_EBI,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,122660000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_EBI,PREV_YR,2012,2011,0,2012-03-31,INR,157299000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_EWF,CURR_YR,2012,2011,0,2012-03-31,INR,16374000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_EWF,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,9404000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_EWF,PREV_YR,2012,2011,0,2012-03-31,INR,12271000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_GROSS_PFT,CURR_YR,2012,2011,0,2012-03-31,INR,145958000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_GROSS_PFT,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,118132000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_GROSS_PFT,PREV_YR,2012,2011,0,2012-03-31,INR,144467000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_INS,CURR_YR,2012,2011,0,2012-03-31,INR,3535000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_INS,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,2455000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_INS,PREV_YR,2012,2011,0,2012-03-31,INR,3201000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_LESS_INT,CURR_YR,2012,2011,0,2012-03-31,INR,53670000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_LESS_INT,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,33963000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_LESS_INT,PREV_YR,2012,2011,0,2012-03-31,INR,39662000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_LES_TP,CURR_YR,2012,2011,0,2012-03-31,INR,42568000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_LES_TP,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,31956000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_LES_TP,PREV_YR,2012,2011,0,2012-03-31,INR,40248000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_MGR_RMN,CURR_YR,2012,2011,0,2012-03-31,INR,4572000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_MGR_RMN,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,6168000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_MGR_RMN,PREV_YR,2012,2011,0,2012-03-31,INR,7905000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_NO_SURP_DEF,CURR_YR,2012,2011,0,2012-03-31,INR,8653000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_NO_SURP_DEF,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,9051000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_NO_SURP_DEF,PREV_YR,2012,2011,0,2012-03-31,INR,13615000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_NO_SURP_OTH,CURR_YR,2012,2011,0,2012-03-31,INR,8653000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_NO_SURP_OTH,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,9051000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_NO_SURP_OTH,PREV_YR,2012,2011,0,2012-03-31,INR,13615000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_OPR_EXP,CURR_YR,2012,2011,0,2012-03-31,INR,1852879000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_OPR_EXP,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,1287831000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_OPR_EXP,PREV_YR,2012,2011,0,2012-03-31,INR,1547809000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_OTH_EXP,CURR_YR,2012,2011,0,2012-03-31,INR,206334000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_OTH_EXP,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,142031000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_OTH_EXP,PREV_YR,2012,2011,0,2012-03-31,INR,157197000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_OTH_PRO,CURR_YR,2012,2011,0,2012-03-31,INR,2640000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_OTH_PRO,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,2228000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_OTH_PRO,PREV_YR,2012,2011,0,2012-03-31,INR,2788000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_OT_MA_EXP,CURR_YR,2012,2011,0,2012-03-31,INR,77566000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_OT_MA_EXP,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,65070000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_OT_MA_EXP,PREV_YR,2012,2011,0,2012-03-31,INR,71513000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PAT,CURR_YR,2012,2011,0,2012-03-31,INR,58374000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PAT,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,61264000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PAT,PREV_YR,2012,2011,0,2012-03-31,INR,78172000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PBT,CURR_YR,2012,2011,0,2012-03-31,INR,100941000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PBT,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,93220000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PBT,PREV_YR,2012,2011,0,2012-03-31,INR,118420000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PBT_NO_SURP_DEF,CURR_YR,2012,2011,0,2012-03-31,INR,92288000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PBT_NO_SURP_DEF,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,84169000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PBT_NO_SURP_DEF,PREV_YR,2012,2011,0,2012-03-31,INR,104805000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PF,CURR_YR,2012,2011,0,2012-03-31,INR,12525000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PF,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,8154000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PF,PREV_YR,2012,2011,0,2012-03-31,INR,9702000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PFT_RETND,CURR_YR,2012,2011,0,2012-03-31,INR,44136000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PFT_RETND,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,45763000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_PFT_RETND,PREV_YR,2012,2011,0,2012-03-31,INR,59516000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_POW_A_FU,CURR_YR,2012,2011,0,2012-03-31,INR,40189000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_POW_A_FU,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,27188000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_POW_A_FU,PREV_YR,2012,2011,0,2012-03-31,INR,36821000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_RAW_MAT,CURR_YR,2012,2011,0,2012-03-31,INR,1167698000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_RAW_MAT,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,803462000000
RBI:PNL_PVT_RN(1.0),N_A,AFY,EA_RAW_MAT,PREV_YR,2012,2011,0,2012-03-31,INR,969283000000
