DATAFLOW,AUDST,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_SRC_FNDS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_BORROW,0,2012-03-31,INR,81700000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_CAP_RECPT,0,2012-03-31,INR,2422000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_DEB,0,2012-03-31,INR,3875000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_DEF_PAY,0,2012-03-31,INR,-475000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_LA_BNK,0,2012-03-31,INR,24155000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_LA_COMP,0,2012-03-31,INR,-946000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_LA_FIA,0,2012-03-31,INR,-4643000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_LA_GOV_SEMGOV_BOD,0,2012-03-31,INR,-7122000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_LA_IFI,0,2012-03-31,INR,21440000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_LA_OTH,0,2012-03-31,INR,50203000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_LN_ADV,0,2012-03-31,INR,83088000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_NET_ISS,0,2012-03-31,INR,29351000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_PRM_ON_SHR,0,2012-03-31,INR,16985000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_PUB_DEPO,0,2012-03-31,INR,-4789000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,ES_PU_CAP,0,2012-03-31,INR,46337000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,EXT_SRC,0,2012-03-31,INR,211757000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,INT_SRC,0,2012-03-31,INR,88797000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,IS_PRV,0,2012-03-31,INR,58628000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,IS_PRV_DEP,0,2012-03-31,INR,45846000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,IS_PRV_DIV,0,2012-03-31,INR,-4738000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,IS_PRV_NCP,0,2012-03-31,INR,3691000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,IS_PRV_OCP,0,2012-03-31,INR,5530000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,IS_PRV_TAXATION,0,2012-03-31,INR,8299000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,IS_PU_CAP,0,2012-03-31,INR,32000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,IS_RES_CAP_RES,0,2012-03-31,INR,-1690000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,IS_RES_INVS_ALW,0,2012-03-31,INR,-1000000.0
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,IS_RES_OTH,0,2012-03-31,INR,31858000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,IS_RES_SIN_FDS,0,2012-03-31,INR,-30000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,IS_RES_SRPLS,0,2012-03-31,INR,30137000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,MIS_NON_CURR_LIAB,0,2012-03-31,INR,33000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,TD_OCA_ACCP,0,2012-03-31,INR,17517000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,TD_OCA_ADV_DEP,0,2012-03-31,INR,-7614000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,TD_OCA_IA_ON_LN,0,2012-03-31,INR,1676000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,TD_OCA_LTC,0,2012-03-31,INR,-3752000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,TD_OCA_OTH,0,2012-03-31,INR,56841000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,TD_OCA_SUN_CRE,0,2012-03-31,INR,16598000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,TRD_DUE_OTH_CURR_AST,0,2012-03-31,INR,81265000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,CURR_YR,2012,2011,TTL_INT_EXT_SRC,0,2012-03-31,INR,300554000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_BORROW,0,2012-03-31,INR,87344000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_CAP_RECPT,0,2012-03-31,INR,1980000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_DEB,0,2012-03-31,INR,6557000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_DEF_PAY,0,2012-03-31,INR,210000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_LA_BNK,0,2012-03-31,INR,28622000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_LA_COMP,0,2012-03-31,INR,24616000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_LA_FIA,0,2012-03-31,INR,2524000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_LA_GOV_SEMGOV_BOD,0,2012-03-31,INR,3697000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_LA_IFI,0,2012-03-31,INR,3753000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_LA_OTH,0,2012-03-31,INR,12827000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_LN_ADV,0,2012-03-31,INR,76038000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_NET_ISS,0,2012-03-31,INR,7411000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_PRM_ON_SHR,0,2012-03-31,INR,25036000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_PUB_DEPO,0,2012-03-31,INR,4539000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,ES_PU_CAP,0,2012-03-31,INR,32448000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,EXT_SRC,0,2012-03-31,INR,202906000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,INT_SRC,0,2012-03-31,INR,110719000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,IS_PRV,0,2012-03-31,INR,43411000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,IS_PRV_DEP,0,2012-03-31,INR,43477000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,IS_PRV_DIV,0,2012-03-31,INR,4367000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,IS_PRV_NCP,0,2012-03-31,INR,3811000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,IS_PRV_OCP,0,2012-03-31,INR,133000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,IS_PRV_TAXATION,0,2012-03-31,INR,-8376000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,IS_PU_CAP,0,2012-03-31,INR,34000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,IS_RES_CAP_RES,0,2012-03-31,INR,679000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,IS_RES_INVS_ALW,0,2012-03-31,INR,9000000.0
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,IS_RES_OTH,0,2012-03-31,INR,67645000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,IS_RES_SIN_FDS,0,2012-03-31,INR,-1059000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,IS_RES_SRPLS,0,2012-03-31,INR,67274000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,MIS_NON_CURR_LIAB,0,2012-03-31,INR,-97000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,TD_OCA_ACCP,0,2012-03-31,INR,2880000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,TD_OCA_ADV_DEP,0,2012-03-31,INR,21663000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,TD_OCA_IA_ON_LN,0,2012-03-31,INR,-20000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,TD_OCA_LTC,0,2012-03-31,INR,-682000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,TD_OCA_OTH,0,2012-03-31,INR,6288000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,TD_OCA_SUN_CRE,0,2012-03-31,INR,51101000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,TRD_DUE_OTH_CURR_AST,0,2012-03-31,INR,81231000000
RBI:SRC_FND_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,TTL_INT_EXT_SRC,0,2012-03-31,INR,313625000000
