DATAFLOW,AUDST,BAL_SHT_ITMS_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:USE_FBD_PVT_RN(1.0),N_A,CAN_BB,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,-6396000000
RBI:USE_FBD_PVT_RN(1.0),N_A,CAN_BB,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,23823000000
RBI:USE_FBD_PVT_RN(1.0),N_A,CA_INV,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,43473000000
RBI:USE_FBD_PVT_RN(1.0),N_A,CA_INV,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,58539000000
RBI:USE_FBD_PVT_RN(1.0),N_A,CA_INV_FG,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,30119000000
RBI:USE_FBD_PVT_RN(1.0),N_A,CA_INV_FG,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,16456000000
RBI:USE_FBD_PVT_RN(1.0),N_A,CA_INV_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,-7240000000
RBI:USE_FBD_PVT_RN(1.0),N_A,CA_INV_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,8667000000
RBI:USE_FBD_PVT_RN(1.0),N_A,CA_INV_RM,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,7300000000
RBI:USE_FBD_PVT_RN(1.0),N_A,CA_INV_RM,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,24734000000
RBI:USE_FBD_PVT_RN(1.0),N_A,CA_INV_SS,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,1339000000
RBI:USE_FBD_PVT_RN(1.0),N_A,CA_INV_SS,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,1264000000
RBI:USE_FBD_PVT_RN(1.0),N_A,CA_INV_WIP,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,11955000000
RBI:USE_FBD_PVT_RN(1.0),N_A,CA_INV_WIP,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,7418000000
RBI:USE_FBD_PVT_RN(1.0),N_A,INV_MT,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,25555000000
RBI:USE_FBD_PVT_RN(1.0),N_A,INV_MT,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,30717000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,117050000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,93580000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB_DB_WGO,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,-1216000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB_DB_WGO,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,-6848000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB_IAOLA,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,4732000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB_IAOLA,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,-423000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB_LND,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,62383000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB_LND,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,35316000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB_LND_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,51214000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB_LND_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,30011000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB_LND_TSND,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,11169000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB_LND_TSND,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,5305000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,16733000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,5295000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB_SUND,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,34418000000
RBI:USE_FBD_PVT_RN(1.0),N_A,LADB_SUND,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,60241000000
RBI:USE_FBD_PVT_RN(1.0),N_A,NCA_GFA,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,87440000000
RBI:USE_FBD_PVT_RN(1.0),N_A,NCA_GFA,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,98062000000
RBI:USE_FBD_PVT_RN(1.0),N_A,NCA_GFA_CWIP,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,-10812000000
RBI:USE_FBD_PVT_RN(1.0),N_A,NCA_GFA_CWIP,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,9496000000
RBI:USE_FBD_PVT_RN(1.0),N_A,NCA_GFA_TA_BLDG,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,33430000000
RBI:USE_FBD_PVT_RN(1.0),N_A,NCA_GFA_TA_BLDG,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,22083000000
RBI:USE_FBD_PVT_RN(1.0),N_A,NCA_GFA_TA_FFO,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,-1514000000
RBI:USE_FBD_PVT_RN(1.0),N_A,NCA_GFA_TA_FFO,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,3954000000
RBI:USE_FBD_PVT_RN(1.0),N_A,NCA_GFA_TA_LND,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,8384000000
RBI:USE_FBD_PVT_RN(1.0),N_A,NCA_GFA_TA_LND,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,942000000
RBI:USE_FBD_PVT_RN(1.0),N_A,NCA_GFA_TA_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,20353000000
RBI:USE_FBD_PVT_RN(1.0),N_A,NCA_GFA_TA_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,4268000000
RBI:USE_FBD_PVT_RN(1.0),N_A,NCA_GFA_TA_PM,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,37598000000
RBI:USE_FBD_PVT_RN(1.0),N_A,NCA_GFA_TA_PM,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,57319000000
RBI:USE_FBD_PVT_RN(1.0),N_A,OTHR_ASST,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,33434000000
RBI:USE_FBD_PVT_RN(1.0),N_A,OTHR_ASST,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,8905000000
