DATAFLOW,AUDST,BAL_SHT_ITMS_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BAL_SHT_PUB_RN(1.0),N_A,CAN_BB,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,2487627000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CAN_BB,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,2018913000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CAN_BB,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,2416037000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CAN_BB_CID,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,59473000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CAN_BB_CID,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,46286000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CAN_BB_CID,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,53666000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CAN_BB_FDQB,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,1941939000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CAN_BB_FDQB,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,1559266000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CAN_BB_FDQB,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,1868521000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CAN_BB_OTBB,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,486214000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CAN_BB_OTBB,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,413361000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CAN_BB_OTBB,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,493850000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,4638936000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,3276934000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,4090395000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_FG,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,1885319000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_FG,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,1139081000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_FG,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,1629456000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,136992000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_OTH,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,348578000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,139065000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_RM_CE,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,1524787000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_RM_CE,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,1075244000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_RM_CE,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,1377509000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_SS,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,339779000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_SS,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,266792000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_SS,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,311958000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_WIP,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,752060000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_WIP,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,447239000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,CA_INV_WIP,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,632408000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,FOR_IG,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,506047000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,FOR_IG,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,936602000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,FOR_IG,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,999252000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,6853463000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,5022060000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,5509658000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_GO_SEGO,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,42348000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_GO_SEGO,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,30136000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_GO_SEGO,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,46194000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_IS,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,1119139000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_IS,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,317316000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_IS,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,541193000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,471747000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_OTH,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,369427000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,339552000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_SADS,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,4255534000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_SADS,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,3058759000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_SADS,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,3455074000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_SOF_IN,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,964696000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_SOF_IN,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,1246422000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,IND_IAN_SOF_IN,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,1127643000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,INV_MT,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,7359511000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,INV_MT,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,5958662000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,INV_MT,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,6508910000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,INV_MT_QI,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,1724504000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,INV_MT_QI,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,1485324000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,INV_MT_QI,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,1513124000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,10546771000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,6682176000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,8744419000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB_DB_WGO,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,578551000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB_DB_WGO,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,242701000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB_DB_WGO,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,504078000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB_IAOLA,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,349650000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB_IAOLA,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,138868000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB_IAOLA,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,263085000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB_LND,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,4183319000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB_LND,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,2928211000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB_LND,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,3638799000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB_LND_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,2223398000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB_LND_OTH,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,1693728000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB_LND_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,1923461000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB_LND_TSND,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,1959920000000
RBI:BAL_SHT_PUB_RN(1.0),N_A,LADB_LND_TSND,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,1234483000000
