DATAFLOW,AUDST,EAR_EXP_FC_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_EG,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,5684267000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_EG,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,3486610000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_EG,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,4452594000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,1949845000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_OTH,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,1499826000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,1548779000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FRG_CURR,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,7634112000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FRG_CURR,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,4986436000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FRG_CURR,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,6001373000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_CG,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,476002000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_CG,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,547374000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_CG,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,477885000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_CSP,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,210172000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_CSP,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,127758000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_CSP,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,178574000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_FRG_CURR,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,9057050000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_FRG_CURR,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,6374696000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_FRG_CURR,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,7276055000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_OEFC,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,1349646000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_OEFC,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,1144595000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_OEFC,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,1208500000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_RM,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,6451398000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_RM,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,3909013000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_RM,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,4990136000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_VAL_IMP,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,7707405000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_VAL_IMP,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,5230100000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_VAL_IMP,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,6067555000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_VAL_IMP_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,569833000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_VAL_IMP_OTH,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,645955000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_VAL_IMP_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,420960000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,NET_INF_OF_FC,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,-1422938000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,NET_INF_OF_FC,AFY,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,-1388260000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,NET_INF_OF_FC,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,-1274683000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_EG,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,5856937000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_EG,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,4051069000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_EG,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,5236159000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_OTH,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,2016993000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_OTH,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,1294623000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_OTH,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,1661536000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FRG_CURR,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,7873930000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FRG_CURR,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,5345692000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FRG_CURR,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,6897695000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_CG,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,416084000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_CG,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,455494000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_CG,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,428044000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_CSP,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,156680000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_CSP,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,157119000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_CSP,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,151343000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_FRG_CURR,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,9071608000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_FRG_CURR,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,6419600000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_FRG_CURR,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,8127629000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_OEFC,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,1485104000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_OEFC,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,1008319000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_OEFC,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,1235159000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_RM,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,6126294000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_RM,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,4409730000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_RM,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,5533437000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_VAL_IMP,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,7586504000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_VAL_IMP,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,5411281000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_VAL_IMP,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,6892470000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_VAL_IMP_OTH,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,887446000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_VAL_IMP_OTH,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,388938000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EXP_VAL_IMP_OTH,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,779646000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,NET_INF_OF_FC,AFY,CURR_YR,2013,2012,0,2013-03-31,INR,-1197677000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,NET_INF_OF_FC,AFY,PREV_TO_PREV,2013,2012,0,2013-03-31,INR,-1073908000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,NET_INF_OF_FC,AFY,PREV_YR,2013,2012,0,2013-03-31,INR,-1229934000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_EG,AFY,CURR_YR,2014,2013,0,2014-03-31,INR,6562831000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_EG,AFY,PREV_TO_PREV,2014,2013,0,2014-03-31,INR,5114449000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_EG,AFY,PREV_YR,2014,2013,0,2014-03-31,INR,5813462000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_OTH,AFY,CURR_YR,2014,2013,0,2014-03-31,INR,2925827000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_OTH,AFY,PREV_TO_PREV,2014,2013,0,2014-03-31,INR,1929279000000
RBI:EAR_EXP_FC_PUB_RN(1.0),N_A,EAR_FC_OTH,AFY,PREV_YR,2014,2013,0,2014-03-31,INR,2411510000000
