DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,PUC_SZ_GRP_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_DESC_PROV,100CR_N_ABOVE,CURR_YR,2012,2011,0,2012-03-31,PT,7.6
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_DESC_PROV,100CR_N_ABOVE,PREV_YR,2012,2011,0,2012-03-31,PT,19.7
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_DESC_PROV,10CR_TO_25CR,CURR_YR,2012,2011,0,2012-03-31,PT,14.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_DESC_PROV,10CR_TO_25CR,PREV_YR,2012,2011,0,2012-03-31,PT,12.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_DESC_PROV,1CR_TO_2CR,CURR_YR,2012,2011,0,2012-03-31,PT,19.6
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_DESC_PROV,1CR_TO_2CR,PREV_YR,2012,2011,0,2012-03-31,PT,16.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_DESC_PROV,25CR_TO_50CR,CURR_YR,2012,2011,0,2012-03-31,PT,18.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_DESC_PROV,25CR_TO_50CR,PREV_YR,2012,2011,0,2012-03-31,PT,16.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_DESC_PROV,2CR_TO_5CR,CURR_YR,2012,2011,0,2012-03-31,PT,5.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_DESC_PROV,2CR_TO_5CR,PREV_YR,2012,2011,0,2012-03-31,PT,10.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_DESC_PROV,50CR_TO_100CR,CURR_YR,2012,2011,0,2012-03-31,PT,14.6
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_DESC_PROV,50CR_TO_100CR,PREV_YR,2012,2011,0,2012-03-31,PT,9.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_DESC_PROV,5CR_TO_10CR,CURR_YR,2012,2011,0,2012-03-31,PT,10.1
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_DESC_PROV,5CR_TO_10CR,PREV_YR,2012,2011,0,2012-03-31,PT,9.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_DESC_PROV,LESS_THN_1CR,CURR_YR,2012,2011,0,2012-03-31,PT,10.6
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_DESC_PROV,LESS_THN_1CR,PREV_YR,2012,2011,0,2012-03-31,PT,13.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_DIV_PAID,100CR_N_ABOVE,CURR_YR,2012,2011,0,2012-03-31,PT,3.5
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_DIV_PAID,100CR_N_ABOVE,PREV_YR,2012,2011,0,2012-03-31,PT,17.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_DIV_PAID,10CR_TO_25CR,CURR_YR,2012,2011,0,2012-03-31,PT,9.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_DIV_PAID,10CR_TO_25CR,PREV_YR,2012,2011,0,2012-03-31,PT,17.5
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_DIV_PAID,1CR_TO_2CR,CURR_YR,2012,2011,0,2012-03-31,PT,383.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_DIV_PAID,1CR_TO_2CR,PREV_YR,2012,2011,0,2012-03-31,PT,97.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_DIV_PAID,25CR_TO_50CR,CURR_YR,2012,2011,0,2012-03-31,PT,-20.1
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_DIV_PAID,25CR_TO_50CR,PREV_YR,2012,2011,0,2012-03-31,PT,29.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_DIV_PAID,2CR_TO_5CR,CURR_YR,2012,2011,0,2012-03-31,PT,-4.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_DIV_PAID,2CR_TO_5CR,PREV_YR,2012,2011,0,2012-03-31,PT,25.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_DIV_PAID,50CR_TO_100CR,CURR_YR,2012,2011,0,2012-03-31,PT,-2.5
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_DIV_PAID,50CR_TO_100CR,PREV_YR,2012,2011,0,2012-03-31,PT,21.5
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_DIV_PAID,5CR_TO_10CR,CURR_YR,2012,2011,0,2012-03-31,PT,15.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_DIV_PAID,5CR_TO_10CR,PREV_YR,2012,2011,0,2012-03-31,PT,2.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_DIV_PAID,LESS_THN_1CR,CURR_YR,2012,2011,0,2012-03-31,PT,15.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_DIV_PAID,LESS_THN_1CR,PREV_YR,2012,2011,0,2012-03-31,PT,19.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_EBIT,100CR_N_ABOVE,CURR_YR,2012,2011,0,2012-03-31,PT,2.6
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_EBIT,100CR_N_ABOVE,PREV_YR,2012,2011,0,2012-03-31,PT,16.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_EBIT,10CR_TO_25CR,CURR_YR,2012,2011,0,2012-03-31,PT,-2.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_EBIT,10CR_TO_25CR,PREV_YR,2012,2011,0,2012-03-31,PT,10.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_EBIT,1CR_TO_2CR,CURR_YR,2012,2011,0,2012-03-31,PT,-19.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_EBIT,1CR_TO_2CR,PREV_YR,2012,2011,0,2012-03-31,PT,58.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_EBIT,25CR_TO_50CR,CURR_YR,2012,2011,0,2012-03-31,PT,-1.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_EBIT,25CR_TO_50CR,PREV_YR,2012,2011,0,2012-03-31,PT,8.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_EBIT,2CR_TO_5CR,CURR_YR,2012,2011,0,2012-03-31,PT,-8.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_EBIT,2CR_TO_5CR,PREV_YR,2012,2011,0,2012-03-31,PT,17.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_EBIT,50CR_TO_100CR,CURR_YR,2012,2011,0,2012-03-31,PT,-5.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_EBIT,50CR_TO_100CR,PREV_YR,2012,2011,0,2012-03-31,PT,18.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_EBIT,5CR_TO_10CR,CURR_YR,2012,2011,0,2012-03-31,PT,-4.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_EBIT,5CR_TO_10CR,PREV_YR,2012,2011,0,2012-03-31,PT,16.7
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_EBIT,LESS_THN_1CR,CURR_YR,2012,2011,0,2012-03-31,PT,-3.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_EBIT,LESS_THN_1CR,PREV_YR,2012,2011,0,2012-03-31,PT,23.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_EBITDA,100CR_N_ABOVE,CURR_YR,2012,2011,0,2012-03-31,PT,-6.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_EBITDA,100CR_N_ABOVE,PREV_YR,2012,2011,0,2012-03-31,PT,16.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_EBITDA,10CR_TO_25CR,CURR_YR,2012,2011,0,2012-03-31,PT,-0.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_EBITDA,10CR_TO_25CR,PREV_YR,2012,2011,0,2012-03-31,PT,10.0
