DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,298,AFY,GRP_DESC_PROV,CURR_YR,2012,2011,25_CR_TO_50_CR,0,2012-03-31,PT,-8.6
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,390,AFY,GRP_DESC_PROV,CURR_YR,2012,2011,50_CR_TO_100_CR,0,2012-03-31,PT,-4.5
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,344,AFY,GRP_DESC_PROV,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,0,2012-03-31,PT,13.8
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,871,AFY,GRP_DESC_PROV,CURR_YR,2012,2011,HUN_TO_500_CR,0,2012-03-31,PT,9.1
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,668,AFY,GRP_DESC_PROV,CURR_YR,2012,2011,LESS_THN_25_CR,0,2012-03-31,PT,16.6
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,470,AFY,GRP_DESC_PROV,CURR_YR,2012,2011,THOU_CR_N_ABV,0,2012-03-31,PT,10.6
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,298,AFY,GRP_DESC_PROV,PREV_YR,2012,2011,25_CR_TO_50_CR,0,2012-03-31,PT,1.7
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,390,AFY,GRP_DESC_PROV,PREV_YR,2012,2011,50_CR_TO_100_CR,0,2012-03-31,PT,13.1
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,344,AFY,GRP_DESC_PROV,PREV_YR,2012,2011,FIV_HUN_TO_1000_CR,0,2012-03-31,PT,13.5
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,871,AFY,GRP_DESC_PROV,PREV_YR,2012,2011,HUN_TO_500_CR,0,2012-03-31,PT,10.4
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,668,AFY,GRP_DESC_PROV,PREV_YR,2012,2011,LESS_THN_25_CR,0,2012-03-31,PT,-2.2
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,470,AFY,GRP_DESC_PROV,PREV_YR,2012,2011,THOU_CR_N_ABV,0,2012-03-31,PT,18.3
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,298,AFY,GRP_DIV_PAID,CURR_YR,2012,2011,25_CR_TO_50_CR,0,2012-03-31,PT,-0.8
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,390,AFY,GRP_DIV_PAID,CURR_YR,2012,2011,50_CR_TO_100_CR,0,2012-03-31,PT,29.4
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,344,AFY,GRP_DIV_PAID,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,0,2012-03-31,PT,14.6
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,871,AFY,GRP_DIV_PAID,CURR_YR,2012,2011,HUN_TO_500_CR,0,2012-03-31,PT,13.1
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,668,AFY,GRP_DIV_PAID,CURR_YR,2012,2011,LESS_THN_25_CR,0,2012-03-31,PT,10.8
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,470,AFY,GRP_DIV_PAID,CURR_YR,2012,2011,THOU_CR_N_ABV,0,2012-03-31,PT,-1.3
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,298,AFY,GRP_DIV_PAID,PREV_YR,2012,2011,25_CR_TO_50_CR,0,2012-03-31,PT,8.5
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,390,AFY,GRP_DIV_PAID,PREV_YR,2012,2011,50_CR_TO_100_CR,0,2012-03-31,PT,53.8
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,344,AFY,GRP_DIV_PAID,PREV_YR,2012,2011,FIV_HUN_TO_1000_CR,0,2012-03-31,PT,23.3
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,871,AFY,GRP_DIV_PAID,PREV_YR,2012,2011,HUN_TO_500_CR,0,2012-03-31,PT,13.2
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,668,AFY,GRP_DIV_PAID,PREV_YR,2012,2011,LESS_THN_25_CR,0,2012-03-31,PT,27.1
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,470,AFY,GRP_DIV_PAID,PREV_YR,2012,2011,THOU_CR_N_ABV,0,2012-03-31,PT,19.2
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,298,AFY,GRP_EBIT,CURR_YR,2012,2011,25_CR_TO_50_CR,0,2012-03-31,PT,5.7
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,390,AFY,GRP_EBIT,CURR_YR,2012,2011,50_CR_TO_100_CR,0,2012-03-31,PT,-40.2
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,344,AFY,GRP_EBIT,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,0,2012-03-31,PT,-10.2
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,871,AFY,GRP_EBIT,CURR_YR,2012,2011,HUN_TO_500_CR,0,2012-03-31,PT,-7.1
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,470,AFY,GRP_EBIT,CURR_YR,2012,2011,THOU_CR_N_ABV,0,2012-03-31,PT,1.9
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,298,AFY,GRP_EBIT,PREV_YR,2012,2011,25_CR_TO_50_CR,0,2012-03-31,PT,525.0
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,390,AFY,GRP_EBIT,PREV_YR,2012,2011,50_CR_TO_100_CR,0,2012-03-31,PT,-7.8
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,344,AFY,GRP_EBIT,PREV_YR,2012,2011,FIV_HUN_TO_1000_CR,0,2012-03-31,PT,11.1
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,871,AFY,GRP_EBIT,PREV_YR,2012,2011,HUN_TO_500_CR,0,2012-03-31,PT,12.5
