DATAFLOW,AUDST,FREQ,PFT_LOSS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_ADV,CURR_YR,2012,2011,0,2012-03-31,INR,240170000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_ADV,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,183431000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_ADV,PREV_YR,2012,2011,0,2012-03-31,INR,218298000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_BAD_DBT,CURR_YR,2012,2011,0,2012-03-31,INR,54484000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_BAD_DBT,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,57443000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_BAD_DBT,PREV_YR,2012,2011,0,2012-03-31,INR,47261000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_DEP_PROV,CURR_YR,2012,2011,0,2012-03-31,INR,1044005000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_DEP_PROV,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,809587000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_DEP_PROV,PREV_YR,2012,2011,0,2012-03-31,INR,945766000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_DIV,CURR_YR,2012,2011,0,2012-03-31,INR,501456000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_DIV,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,417717000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_DIV,PREV_YR,2012,2011,0,2012-03-31,INR,498469000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_DIV_ORD,CURR_YR,2012,2011,0,2012-03-31,INR,498043000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_DIV_ORD,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,413934000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_DIV_ORD,PREV_YR,2012,2011,0,2012-03-31,INR,496194000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_DIV_PRE,CURR_YR,2012,2011,0,2012-03-31,INR,3413000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_DIV_PRE,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,3783000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_DIV_PRE,PREV_YR,2012,2011,0,2012-03-31,INR,2275000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_EBI,CURR_YR,2012,2011,0,2012-03-31,INR,2609213000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_EBI,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,2434177000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_EBI,PREV_YR,2012,2011,0,2012-03-31,INR,2809945000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_EWF,CURR_YR,2012,2011,0,2012-03-31,INR,160940000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_EWF,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,126162000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_EWF,PREV_YR,2012,2011,0,2012-03-31,INR,150578000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_GROSS_PFT,CURR_YR,2012,2011,0,2012-03-31,INR,3165871000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_GROSS_PFT,PREV_TO_PREV,2012,2011,0,2012-03-31,INR,2756539000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_GROSS_PFT,PREV_YR,2012,2011,0,2012-03-31,INR,3167300000000
RBI:PNL_PUB_RN(1.0),N_A,AFY,EA_INS,CURR_YR,2012,2011,0,2012-03-31,INR,44334000000
