DATAFLOW,AUDST,BAL_SHT_ITMS_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:USE_FBD_PUB_RN(1.0),N_A,CAN_BB,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,71590000000
RBI:USE_FBD_PUB_RN(1.0),N_A,CAN_BB,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,397124000000
RBI:USE_FBD_PUB_RN(1.0),N_A,CA_INV,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,548542000000
RBI:USE_FBD_PUB_RN(1.0),N_A,CA_INV,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,813460000000
RBI:USE_FBD_PUB_RN(1.0),N_A,CA_INV_FG,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,255863000000
RBI:USE_FBD_PUB_RN(1.0),N_A,CA_INV_FG,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,490375000000
RBI:USE_FBD_PUB_RN(1.0),N_A,CA_INV_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,-2073000000
RBI:USE_FBD_PUB_RN(1.0),N_A,CA_INV_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,-209514000000
RBI:USE_FBD_PUB_RN(1.0),N_A,CA_INV_RM_CE,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,147278000000
RBI:USE_FBD_PUB_RN(1.0),N_A,CA_INV_RM_CE,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,302264000000
RBI:USE_FBD_PUB_RN(1.0),N_A,CA_INV_SS,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,27821000000
RBI:USE_FBD_PUB_RN(1.0),N_A,CA_INV_SS,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,45166000000
RBI:USE_FBD_PUB_RN(1.0),N_A,CA_INV_WIP,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,119652000000
RBI:USE_FBD_PUB_RN(1.0),N_A,CA_INV_WIP,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,185168000000
RBI:USE_FBD_PUB_RN(1.0),N_A,INV_MT,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,850601000000
RBI:USE_FBD_PUB_RN(1.0),N_A,INV_MT,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,550248000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,1802352000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,2062243000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB_DB_WGO,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,74473000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB_DB_WGO,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,261377000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB_IAOLA,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,86565000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB_IAOLA,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,124218000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB_LND,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,544520000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB_LND,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,710588000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB_LND_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,299937000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB_LND_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,229733000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB_LND_TSND,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,244583000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB_LND_TSND,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,480855000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB_OTH,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,233904000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB_OTH,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,269310000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB_SUND,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,862890000000
RBI:USE_FBD_PUB_RN(1.0),N_A,LADB_SUND,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,696751000000
RBI:USE_FBD_PUB_RN(1.0),N_A,NCA_GFA,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,1857905000000
RBI:USE_FBD_PUB_RN(1.0),N_A,NCA_GFA,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,2032183000000
RBI:USE_FBD_PUB_RN(1.0),N_A,NCA_GFA_CWIP,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,-121091000000
RBI:USE_FBD_PUB_RN(1.0),N_A,NCA_GFA_CWIP,AFY,PREV_YR,2012,2011,0,2012-03-31,INR,524317000000
RBI:USE_FBD_PUB_RN(1.0),N_A,NCA_GFA_TA_BLDG,AFY,CURR_YR,2012,2011,0,2012-03-31,INR,248926000000
