DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_EXT_DEBT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_GB_CONCESSION,0,2004-06-30,INR,582820000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_GB_CONCESSION,0,2004-06-30,USD,12706000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_GB_NON_CON,0,2004-06-30,INR,2640000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_GB_NON_CON,0,2004-06-30,USD,57000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NGB_CONCESSION,0,2004-06-30,INR,89510000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NGB_CONCESSION,0,2004-06-30,USD,1952000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NGB_NON_CONCE,0,2004-06-30,INR,103680000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NGB_NON_CONCE,0,2004-06-30,USD,2256000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NON_CON_FIN_INS,0,2004-06-30,INR,32050000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NON_CON_FIN_INS,0,2004-06-30,USD,698000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NON_CON_PRI_SEC,0,2004-06-30,INR,22010000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NON_CON_PRI_SEC,0,2004-06-30,USD,479000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NON_CON_PUB_SEC,0,2004-06-30,INR,49620000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NON_CON_PUB_SEC,0,2004-06-30,USD,1079000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CONCESSION,0,2004-06-30,INR,1059110000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CONCESSION,0,2004-06-30,USD,23090000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CON_FIN_INC,0,2004-06-30,INR,31540000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CON_FIN_INC,0,2004-06-30,USD,688000000
