DATAFLOW,AUDST,BASE_PER,FREQ,REPYEAREND,REPYEARSTART,TYP_INDX_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1986,1985,EXP,1986-03-31,IX,170.8
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1986,1985,EXP1,1986-03-31,IX,111.3
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1986,1985,IMP,1986-03-31,IX,158.8
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1986,1985,IMP2,1986-03-31,IX,182.3
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1986,1985,INDX_QUANT,1986-03-31,IX,293.6
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1986,1985,INDX_UNT_VAL,1986-03-31,IX,329.6
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1986,1985,TERM_TRD,1986-03-31,IX,391.1105793451
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1986,1985,TERM_TRD_GROSS,1986-03-31,IX,163.8
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1986,1985,TERM_TRD_INC,1986-03-31,IX,119.710579345088
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1986,1985,TERM_TRD_NET,1986-03-31,IX,107.6
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1987,1986,EXP,1987-03-31,IX,179.4
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1987,1986,EXP1,1987-03-31,IX,121.3
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1987,1986,IMP,1987-03-31,IX,139.4
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1987,1986,IMP2,1987-03-31,IX,212.3
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1987,1986,INDX_QUANT,1987-03-31,IX,333.6
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1987,1986,INDX_UNT_VAL,1987-03-31,IX,318.8
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1987,1986,TERM_TRD,1987-03-31,IX,459.806312769
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1987,1986,TERM_TRD_GROSS,1987-03-31,IX,175.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1987,1986,TERM_TRD_INC,1987-03-31,IX,156.10631276901
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1987,1986,TERM_TRD_NET,1987-03-31,IX,128.7
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1988,1987,EXP,1988-03-31,IX,195.4
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1988,1987,EXP1,1988-03-31,IX,140.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1988,1987,IMP,1988-03-31,IX,160.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1988,1987,IMP2,1988-03-31,IX,204.8
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1988,1987,INDX_QUANT,1988-03-31,IX,344.8
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1988,1987,INDX_UNT_VAL,1988-03-31,IX,355.4
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1988,1987,TERM_TRD,1988-03-31,IX,439.375
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1988,1987,TERM_TRD_GROSS,1988-03-31,IX,146.3
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1988,1987,TERM_TRD_INC,1988-03-31,IX,170.975
