DATAFLOW,AUDST,BASE_PER,CURR_BASK_RN,FREQ,REPYEAREND,REPYEARSTART,TYP_OF_RATE,TYP_REP_RN,TYP_TRD_WTS_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_NEER_REER_A_RN(1.0),N_A,BY_2004_05,CURR_BASK_36CURR,AFY,2005,2004,NEER,REP_FY_ANN_AVG,EXP_WTS,2005-03-31,IX,100.00485
RBI:INX_NEER_REER_A_RN(1.0),N_A,BY_2004_05,CURR_BASK_36CURR,AFY,2005,2004,NEER,REP_FY_ANN_AVG,TRD_WTS,2005-03-31,IX,99.996391666667
RBI:INX_NEER_REER_A_RN(1.0),N_A,BY_2004_05,CURR_BASK_36CURR,AFY,2005,2004,REER,REP_FY_ANN_AVG,EXP_WTS,2005-03-31,IX,100.000958333333
RBI:INX_NEER_REER_A_RN(1.0),N_A,BY_2004_05,CURR_BASK_36CURR,AFY,2005,2004,REER,REP_FY_ANN_AVG,TRD_WTS,2005-03-31,IX,99.989775
RBI:INX_NEER_REER_A_RN(1.0),N_A,BY_2015_16,CURR_BASK_40CURR,AFY,2005,2004,NEER,REP_FY_ANN_AVG,EXP_WTS,2005-03-31,IX,130.810983333333
RBI:INX_NEER_REER_A_RN(1.0),N_A,BY_2015_16,CURR_BASK_40CURR,AFY,2005,2004,NEER,REP_FY_ANN_AVG,TRD_WTS,2005-03-31,IX,133.769283333333
RBI:INX_NEER_REER_A_RN(1.0),N_A,BY_2015_16,CURR_BASK_40CURR,AFY,2005,2004,REER,REP_FY_ANN_AVG,EXP_WTS,2005-03-31,IX,87.37745
RBI:INX_NEER_REER_A_RN(1.0),N_A,BY_2015_16,CURR_BASK_40CURR,AFY,2005,2004,REER,REP_FY_ANN_AVG,TRD_WTS,2005-03-31,IX,89.208975
RBI:INX_NEER_REER_A_RN(1.0),N_A,BY_2004_05,CURR_BASK_36CURR,AFY,2006,2005,NEER,REP_CY_ANN_AVG,EXP_WTS,2005-12-31,IX,101.972158333333
RBI:INX_NEER_REER_A_RN(1.0),N_A,BY_2004_05,CURR_BASK_36CURR,AFY,2006,2005,NEER,REP_CY_ANN_AVG,TRD_WTS,2005-12-31,IX,101.897991666667
RBI:INX_NEER_REER_A_RN(1.0),N_A,BY_2004_05,CURR_BASK_36CURR,AFY,2006,2005,REER,REP_CY_ANN_AVG,EXP_WTS,2005-12-31,IX,101.791241666667
RBI:INX_NEER_REER_A_RN(1.0),N_A,BY_2004_05,CURR_BASK_36CURR,AFY,2006,2005,REER,REP_CY_ANN_AVG,TRD_WTS,2005-12-31,IX,101.976266666667
RBI:INX_NEER_REER_A_RN(1.0),N_A,BY_2015_16,CURR_BASK_40CURR,AFY,2006,2005,NEER,REP_CY_ANN_AVG,EXP_WTS,2005-12-31,IX,133.3843
RBI:INX_NEER_REER_A_RN(1.0),N_A,BY_2015_16,CURR_BASK_40CURR,AFY,2006,2005,NEER,REP_CY_ANN_AVG,TRD_WTS,2005-12-31,IX,136.313141666667
