DATAFLOW,AUDST,BASE_PER,CURR_BASK_RN,FREQ,REPYEAREND,REPYEARSTART,TYP_OF_RATE,TYP_TRD_WTS_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2001,2000,NEER,TRD_WTS,2001-01-31,IX,75.28
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2001,2000,REER,TRD_WTS,2001-01-31,IX,101.81
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2001,2000,NEER,TRD_WTS,2001-01-31,IX,107.93
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2001,2000,REER,TRD_WTS,2001-01-31,IX,102.99
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2001,2000,NEER,TRD_WTS,2001-02-28,IX,75.95
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2001,2000,REER,TRD_WTS,2001-02-28,IX,102.67
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2001,2000,NEER,TRD_WTS,2001-02-28,IX,108.89
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2001,2000,REER,TRD_WTS,2001-02-28,IX,103.86
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2001,2000,NEER,TRD_WTS,2001-03-31,IX,76.53
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2001,2000,REER,TRD_WTS,2001-03-31,IX,103.6
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2001,2000,NEER,TRD_WTS,2001-03-31,IX,109.72
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2001,2000,REER,TRD_WTS,2001-03-31,IX,104.81
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-04-30,IX,76.96
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-04-30,IX,102.84
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-04-30,IX,110.34
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-04-30,IX,104.04
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-05-31,IX,77.26
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-05-31,IX,103.33
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-05-31,IX,110.76
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-05-31,IX,104.53
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-06-30,IX,78.0
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-06-30,IX,104.51
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-06-30,IX,111.83
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-06-30,IX,105.73
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-07-31,IX,77.64
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-07-31,IX,104.52
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-07-31,IX,111.3
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-07-31,IX,105.74
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-08-31,IX,76.1
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-08-31,IX,102.91
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-08-31,IX,109.1
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-08-31,IX,104.11
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-09-30,IX,74.59
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-09-30,IX,100.68
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-09-30,IX,106.93
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-09-30,IX,101.85
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-10-31,IX,74.34
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-10-31,IX,100.96
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-10-31,IX,106.58
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-10-31,IX,102.14
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-11-30,IX,75.08
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-11-30,IX,102.09
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-11-30,IX,107.64
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-11-30,IX,103.27
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-12-31,IX,75.36
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-12-31,IX,102.56
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2001-12-31,IX,108.05
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2001-12-31,IX,103.75
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2002-01-31,IX,75.25
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2002-01-31,IX,101.99
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2002-01-31,IX,107.88
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2002-01-31,IX,103.17
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2002-02-28,IX,75.28
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2002-02-28,IX,101.82
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2002-02-28,IX,107.93
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2002-02-28,IX,103.01
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2002-03-31,IX,74.87
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2002-03-31,IX,101.68
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,NEER,TRD_WTS,2002-03-31,IX,107.33
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2002,2001,REER,TRD_WTS,2002-03-31,IX,102.86
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-04-30,IX,74.29
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-04-30,IX,99.04
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-04-30,IX,106.51
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-04-30,IX,100.19
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-05-31,IX,72.9
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-05-31,IX,97.57
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-05-31,IX,104.52
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-05-31,IX,98.7
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-06-30,IX,71.67
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-06-30,IX,97.03
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-06-30,IX,102.75
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-06-30,IX,98.15
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-07-31,IX,70.29
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-07-31,IX,95.78
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-07-31,IX,100.78
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-07-31,IX,96.9
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-08-31,IX,71.05
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-08-31,IX,97.67
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-08-31,IX,101.86
