DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_MAJ_FR_EXC_RES_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2027,2026,FER_TTL,0,2026-05-30,INR,65219369500000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2027,2026,FER_SDR,0,2026-05-30,INR,1784072400000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2027,2026,FER_FR_CURR_ASS,0,2026-05-30,USD,546922620000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2027,2026,FER_GLD,0,2026-05-30,INR,11005694000000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2027,2026,FER_GLD,0,2026-05-30,USD,115823440000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2027,2026,FER_RES_TRN_POS,0,2026-05-30,USD,4825963000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2027,2026,FER_SDR,0,2026-05-30,SDR,13717261290
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2027,2026,FER_FR_CURR_ASS,0,2026-05-30,INR,51969281000000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2027,2026,FER_SDR,0,2026-05-30,USD,18775500000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2027,2026,FER_TTL,0,2026-05-30,USD,686347523000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2027,2026,FER_RES_TRN_POS,0,2026-05-30,INR,460322100000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_SDR,0,2026-03-31,USD,18789000000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_RES_TRN_POS,0,2026-03-31,INR,463206120000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_TTL,0,2026-03-31,USD,690692910000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_FR_CURR_ASS,0,2026-03-31,INR,52380723100000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_TTL,0,2026-03-31,INR,65564038320000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_SDR,0,2026-03-31,SDR,13714395750
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_GLD,0,2026-03-31,USD,115215780000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_SDR,0,2026-03-31,INR,1783504500000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_GLD,0,2026-03-31,INR,10936604600000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_FR_CURR_ASS,0,2026-03-31,USD,551824650000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_RES_TRN_POS,0,2026-03-31,USD,4863480000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_GLD,0,2025-12-31,INR,10000105300000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_SDR,0,2025-12-31,INR,1689242200000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_RES_TRN_POS,0,2025-12-31,USD,4780624000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_FR_CURR_ASS,0,2025-12-31,INR,49693569200000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_SDR,0,2025-12-31,SDR,13711656690
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_FR_CURR_ASS,0,2025-12-31,USD,552896580000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_GLD,0,2025-12-31,USD,111262360000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_TTL,0,2025-12-31,USD,687734274000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_SDR,0,2025-12-31,USD,18794710000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_TTL,0,2025-12-31,INR,61812789410000
RBI:FR_EXG_RESV_M_RN(1.0),N_A,M,2026,2025,FER_RES_TRN_POS,0,2025-12-31,INR,429872710000
