DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_MAJ_FR_EXC_RES_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-03-27,INR,10758523100000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-03-27,INR,52225932100000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-03-27,USD,4816193000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-03-27,USD,688058133000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-03-27,USD,18648970000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-03-27,USD,551072310000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-03-27,INR,1767390900000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-03-27,USD,113520660000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-03-27,INR,455606089999.99994
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-03-27,INR,65207452189999.99
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-03-20,INR,10980213100000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-03-20,INR,65432463320000.01
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-03-20,USD,557694550000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-03-20,INR,1745831600000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-03-20,USD,18632380000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-03-20,USD,4832712000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-03-20,USD,117186270000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-03-20,INR,52255293200000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-03-20,INR,451125420000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-03-20,USD,698345912000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-03-13,INR,65618492000000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-03-13,INR,1728570400000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-03-13,USD,18696970000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-03-13,INR,444972100000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-03-13,USD,709758960000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-03-13,USD,130680770000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2026-03-13,INR,12081685700000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-03-13,USD,555567610000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-03-13,INR,51363263800000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-03-13,USD,4813610000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2026-03-06,USD,563245220000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2026-03-06,INR,442674030000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2026-03-06,USD,716810466000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2026-03-06,INR,1717253500000
