DATAFLOW,AUDST,CAT_EXT_AST_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1986,1985,0,1986-03-31,INR,7760000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1986,1985,0,1986-03-31,USD,634000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1986,1985,0,1986-03-31,INR,13670000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1986,1985,0,1986-03-31,USD,1117000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1986,1985,0,1986-03-31,INR,4430000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1986,1985,0,1986-03-31,USD,362000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1986,1985,0,1986-03-31,INR,3130000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1986,1985,0,1986-03-31,USD,256000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1986,1985,0,1986-03-31,INR,5910000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1986,1985,0,1986-03-31,USD,483000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1986,1985,0,1986-03-31,INR,53370000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1986,1985,0,1986-03-31,USD,4362000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1986,1985,0,1986-03-31,INR,24930000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1986,1985,0,1986-03-31,USD,2038000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1986,1985,0,1986-03-31,INR,15690000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1986,1985,0,1986-03-31,USD,1283000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1986,1985,0,1986-03-31,INR,56500000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1986,1985,0,1986-03-31,USD,4618000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1986,1985,0,1986-03-31,INR,29360000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1986,1985,0,1986-03-31,USD,2400000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1987,1986,0,1987-03-31,INR,11760000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1987,1986,0,1987-03-31,USD,920000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1987,1986,0,1987-03-31,INR,20290000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1987,1986,0,1987-03-31,USD,1588000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1987,1986,0,1987-03-31,INR,4290000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1987,1986,0,1987-03-31,USD,336000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1987,1986,0,1987-03-31,INR,4300000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1987,1986,0,1987-03-31,USD,336000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1987,1986,0,1987-03-31,INR,8530000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1987,1986,0,1987-03-31,USD,668000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1987,1986,0,1987-03-31,INR,57300000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1987,1986,0,1987-03-31,USD,4484000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1987,1986,0,1987-03-31,INR,31760000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1987,1986,0,1987-03-31,USD,2485000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1987,1986,0,1987-03-31,INR,15760000000
