DATAFLOW,AUDST,FREQ,INVT_CAT_OLD_RN,INVT_CAT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_DI_IND,N_A,1991,1990,0,1991-03-31,USD,97000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_OFF_FND_OTH,N_A,1991,1990,0,1991-03-31,USD,6000000.0
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PORTF_INV,N_A,1991,1990,0,1991-03-31,USD,6000000.0
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_FII,N_A,1991,1990,0,1991-03-31,USD,103000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_GOVT_SIA_FIPB,N_A,1992,1991,0,1992-03-31,USD,66000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_NRI,N_A,1992,1991,0,1992-03-31,USD,63000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_DI_IND,N_A,1992,1991,0,1992-03-31,USD,129000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_OFF_FND_OTH,N_A,1992,1991,0,1992-03-31,USD,4000000.0
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PORTF_INV,N_A,1992,1991,0,1992-03-31,USD,4000000.0
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_EQT,N_A,1992,1991,0,1992-03-31,USD,129000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_FII,N_A,1992,1991,0,1992-03-31,USD,133000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_GOVT_SIA_FIPB,N_A,1993,1992,0,1993-03-31,USD,222000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_NRI,N_A,1993,1992,0,1993-03-31,USD,51000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_RBI,N_A,1993,1992,0,1993-03-31,USD,42000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_DI_IND,N_A,1993,1992,0,1993-03-31,USD,315000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_FII,N_A,1993,1992,0,1993-03-31,USD,1000000.0
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_GDR_ADR,N_A,1993,1992,0,1993-03-31,USD,240000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_OFF_FND_OTH,N_A,1993,1992,0,1993-03-31,USD,3000000.0
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PORTF_INV,N_A,1993,1992,0,1993-03-31,USD,244000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_EQT,N_A,1993,1992,0,1993-03-31,USD,315000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_FII,N_A,1993,1992,0,1993-03-31,USD,559000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_GOVT_SIA_FIPB,N_A,1994,1993,0,1994-03-31,USD,280000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_NRI,N_A,1994,1993,0,1994-03-31,USD,217000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_RBI,N_A,1994,1993,0,1994-03-31,USD,89000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_DI_IND,N_A,1994,1993,0,1994-03-31,USD,586000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_FII,N_A,1994,1993,0,1994-03-31,USD,1665000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_GDR_ADR,N_A,1994,1993,0,1994-03-31,USD,1520000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_OFF_FND_OTH,N_A,1994,1993,0,1994-03-31,USD,382000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PORTF_INV,N_A,1994,1993,0,1994-03-31,USD,3567000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_EQT,N_A,1994,1993,0,1994-03-31,USD,586000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_FII,N_A,1994,1993,0,1994-03-31,USD,4153000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_GOVT_SIA_FIPB,N_A,1995,1994,0,1995-03-31,USD,701000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_NRI,N_A,1995,1994,0,1995-03-31,USD,442000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_RBI,N_A,1995,1994,0,1995-03-31,USD,171000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_DI_IND,N_A,1995,1994,0,1995-03-31,USD,1314000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_FII,N_A,1995,1994,0,1995-03-31,USD,1503000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_GDR_ADR,N_A,1995,1994,0,1995-03-31,USD,2082000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_OFF_FND_OTH,N_A,1995,1994,0,1995-03-31,USD,239000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PORTF_INV,N_A,1995,1994,0,1995-03-31,USD,3824000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_EQT,N_A,1995,1994,0,1995-03-31,USD,1314000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_FII,N_A,1995,1994,0,1995-03-31,USD,5138000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_ACQ_SHAR,N_A,1996,1995,0,1996-03-31,USD,11000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_GOVT_SIA_FIPB,N_A,1996,1995,0,1996-03-31,USD,1249000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_NRI,N_A,1996,1995,0,1996-03-31,USD,715000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_RBI,N_A,1996,1995,0,1996-03-31,USD,169000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_DI_IND,N_A,1996,1995,0,1996-03-31,USD,2144000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_FII,N_A,1996,1995,0,1996-03-31,USD,2009000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_GDR_ADR,N_A,1996,1995,0,1996-03-31,USD,683000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_OFF_FND_OTH,N_A,1996,1995,0,1996-03-31,USD,56000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PORTF_INV,N_A,1996,1995,0,1996-03-31,USD,2748000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_EQT,N_A,1996,1995,0,1996-03-31,USD,2144000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_FII,N_A,1996,1995,0,1996-03-31,USD,4892000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_ACQ_SHAR,N_A,1997,1996,0,1997-03-31,USD,125000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_GOVT_SIA_FIPB,N_A,1997,1996,0,1997-03-31,USD,1922000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_NRI,N_A,1997,1996,0,1997-03-31,USD,639000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_RBI,N_A,1997,1996,0,1997-03-31,USD,135000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_DI_IND,N_A,1997,1996,0,1997-03-31,USD,2821000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_FII,N_A,1997,1996,0,1997-03-31,USD,1926000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_GDR_ADR,N_A,1997,1996,0,1997-03-31,USD,1366000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_OFF_FND_OTH,N_A,1997,1996,0,1997-03-31,USD,20000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PORTF_INV,N_A,1997,1996,0,1997-03-31,USD,3312000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_EQT,N_A,1997,1996,0,1997-03-31,USD,2821000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_FII,N_A,1997,1996,0,1997-03-31,USD,6133000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_ACQ_SHAR,N_A,1998,1997,0,1998-03-31,USD,360000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_GOVT_SIA_FIPB,N_A,1998,1997,0,1998-03-31,USD,2754000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_NRI,N_A,1998,1997,0,1998-03-31,USD,241000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_RBI,N_A,1998,1997,0,1998-03-31,USD,202000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_DI_IND,N_A,1998,1997,0,1998-03-31,USD,3557000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_FII,N_A,1998,1997,0,1998-03-31,USD,979000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_GDR_ADR,N_A,1998,1997,0,1998-03-31,USD,645000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_OFF_FND_OTH,N_A,1998,1997,0,1998-03-31,USD,204000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PORTF_INV,N_A,1998,1997,0,1998-03-31,USD,1828000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_EQT,N_A,1998,1997,0,1998-03-31,USD,3557000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_FII,N_A,1998,1997,0,1998-03-31,USD,5385000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_ACQ_SHAR,N_A,1999,1998,0,1999-03-31,USD,400000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_GOVT_SIA_FIPB,N_A,1999,1998,0,1999-03-31,USD,1821000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_NRI,N_A,1999,1998,0,1999-03-31,USD,62000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_RBI,N_A,1999,1998,0,1999-03-31,USD,179000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_DI_IND,N_A,1999,1998,0,1999-03-31,USD,2462000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_FII,N_A,1999,1998,0,1999-03-31,USD,-390000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_GDR_ADR,N_A,1999,1998,0,1999-03-31,USD,270000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_OFF_FND_OTH,N_A,1999,1998,0,1999-03-31,USD,59000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PORTF_INV,N_A,1999,1998,0,1999-03-31,USD,-61000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_EQT,N_A,1999,1998,0,1999-03-31,USD,2462000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_FII,N_A,1999,1998,0,1999-03-31,USD,2401000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_ACQ_SHAR,N_A,2000,1999,0,2000-03-31,USD,490000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_GOVT_SIA_FIPB,N_A,2000,1999,0,2000-03-31,USD,1410000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_NRI,N_A,2000,1999,0,2000-03-31,USD,84000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_RBI,N_A,2000,1999,0,2000-03-31,USD,171000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_DI_IND,N_A,2000,1999,0,2000-03-31,USD,2155000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_FII,N_A,2000,1999,0,2000-03-31,USD,2135000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_GDR_ADR,N_A,2000,1999,0,2000-03-31,USD,768000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_OFF_FND_OTH,N_A,2000,1999,0,2000-03-31,USD,123000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PORTF_INV,N_A,2000,1999,0,2000-03-31,USD,3026000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_EQT,N_A,2000,1999,0,2000-03-31,USD,2155000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_FII,N_A,2000,1999,0,2000-03-31,USD,5181000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_ACQ_SHAR,N_A,2001,2000,0,2001-03-31,USD,362000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_CAP_UNINC_BOD,N_A,2001,2000,0,2001-03-31,USD,61000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_GOVT_SIA_FIPB,N_A,2001,2000,0,2001-03-31,USD,1456000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_NRI,N_A,2001,2000,0,2001-03-31,USD,67000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_RBI,N_A,2001,2000,0,2001-03-31,USD,454000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_DI_IND,N_A,2001,2000,0,2001-03-31,USD,4029000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_FII,N_A,2001,2000,0,2001-03-31,USD,1847000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_GDR_ADR,N_A,2001,2000,0,2001-03-31,USD,831000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_OFF_FND_OTH,N_A,2001,2000,0,2001-03-31,USD,82000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PORTF_INV,N_A,2001,2000,0,2001-03-31,USD,2760000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_EQT,N_A,2001,2000,0,2001-03-31,USD,2400000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_FII,N_A,2001,2000,0,2001-03-31,USD,6789000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_OTH_CAP,N_A,2001,2000,0,2001-03-31,USD,279000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_RE_INV_EAR,N_A,2001,2000,0,2001-03-31,USD,1350000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_ACQ_SHAR,N_A,2002,2001,0,2002-03-31,USD,881000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_CAP_UNINC_BOD,N_A,2002,2001,0,2002-03-31,USD,191000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_GOVT_SIA_FIPB,N_A,2002,2001,0,2002-03-31,USD,2221000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_NRI,N_A,2002,2001,0,2002-03-31,USD,35000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_RBI,N_A,2002,2001,0,2002-03-31,USD,767000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_DI_IND,N_A,2002,2001,0,2002-03-31,USD,6130000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_FII,N_A,2002,2001,0,2002-03-31,USD,1505000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_GDR_ADR,N_A,2002,2001,0,2002-03-31,USD,477000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_OFF_FND_OTH,N_A,2002,2001,0,2002-03-31,USD,39000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PORTF_INV,N_A,2002,2001,0,2002-03-31,USD,2021000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_EQT,N_A,2002,2001,0,2002-03-31,USD,4095000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_FII,N_A,2002,2001,0,2002-03-31,USD,8151000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_OTH_CAP,N_A,2002,2001,0,2002-03-31,USD,390000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_RE_INV_EAR,N_A,2002,2001,0,2002-03-31,USD,1645000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_ACQ_SHAR,N_A,2003,2002,0,2003-03-31,USD,916000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_CAP_UNINC_BOD,N_A,2003,2002,0,2003-03-31,USD,190000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_GOVT_SIA_FIPB,N_A,2003,2002,0,2003-03-31,USD,919000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_RBI,N_A,2003,2002,0,2003-03-31,USD,739000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_DI_IND,N_A,2003,2002,0,2003-03-31,USD,5035000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_FII,N_A,2003,2002,0,2003-03-31,USD,377000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_GDR_ADR,N_A,2003,2002,0,2003-03-31,USD,600000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_OFF_FND_OTH,N_A,2003,2002,0,2003-03-31,USD,2000000.0
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PORTF_INV,N_A,2003,2002,0,2003-03-31,USD,979000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_EQT,N_A,2003,2002,0,2003-03-31,USD,2764000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_FII,N_A,2003,2002,0,2003-03-31,USD,6014000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_OTH_CAP,N_A,2003,2002,0,2003-03-31,USD,438000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_RE_INV_EAR,N_A,2003,2002,0,2003-03-31,USD,1833000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_ACQ_SHAR,N_A,2004,2003,0,2004-03-31,USD,735000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_CAP_UNINC_BOD,N_A,2004,2003,0,2004-03-31,USD,32000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_GOVT_SIA_FIPB,N_A,2004,2003,0,2004-03-31,USD,928000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,EQT_RBI,N_A,2004,2003,0,2004-03-31,USD,534000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_DI_IND,N_A,2004,2003,0,2004-03-31,USD,4322000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_FII,N_A,2004,2003,0,2004-03-31,USD,10918000000
RBI:FR_INV_INFLW_A_RN(1.0),N_A,AFY,INV_CAT_PI_GDR_ADR,N_A,2004,2003,0,2004-03-31,USD,459000000
