DATAFLOW,AUDST,FREQ,INVT_CAT_OLD_RN,INVT_CAT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2001,2000,0,2001-01-31,USD,36000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2001,2000,0,2001-01-31,USD,242000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_NRI,N_A,2001,2000,0,2001-01-31,USD,5000000.0
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2001,2000,0,2001-01-31,USD,52000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2001,2000,0,2001-01-31,USD,335000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2001,2000,0,2001-01-31,USD,444000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_GDR_ADR,N_A,2001,2000,0,2001-01-31,USD,3000000.0
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_OFF_FND_OTH,N_A,2001,2000,0,2001-01-31,USD,4000000.0
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2001,2000,0,2001-01-31,USD,451000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2001,2000,0,2001-01-31,USD,786000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2001,2000,0,2001-02-28,USD,42000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2001,2000,0,2001-02-28,USD,103000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_NRI,N_A,2001,2000,0,2001-02-28,USD,8000000.0
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2001,2000,0,2001-02-28,USD,40000000
