DATAFLOW,AUDST,COUNTRYCODE,FREQ,FRG_LIB_ASS_RN,MEASURE_RN,REPYEAREND,REPYEARSTART,TYP_ENT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AE,AFY,FLA_FR_ASS,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,0.0
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AE,AFY,FLA_FR_LIB,FAC_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,39470000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AE,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,42000000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AU,AFY,FLA_FR_EHA,MRKT_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,190000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AU,AFY,FLA_FR_LIB,FAC_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,260000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,AU,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,310000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,BH,AFY,FLA_FR_LIB,FAC_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,260000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,BH,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,310000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CA,AFY,FLA_FR_LIB,FAC_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,1320000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CA,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,110000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CA,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,10580000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CH,AFY,FLA_FR_EHA,MRKT_VAL,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,3110000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CN,AFY,FLA_FR_ASS,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,30000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CN,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,2450000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,FR,AFY,FLA_FR_LIB,MRKT_VAL,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,300000000
