DATAFLOW,AUDST,FREQ,FRG_LIB_ASS_RN,REPYEAREND,REPYEARSTART,TYP_ENT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,2250000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2009,2008,ASST_MGMT_COMP,0,2009-03-31,USD,44000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,40590000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2009,2008,MTL_FND_COMP,0,2009-03-31,USD,797000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2009,2008,MTL_FND_COMP,0,2009-03-31,USD,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,40380000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2009,2008,MTL_FND_COMP,0,2009-03-31,USD,793000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2009,2008,ASST_MGMT_COMP,0,2009-03-31,INR,17750000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2009,2008,ASST_MGMT_COMP,0,2009-03-31,USD,348000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,311460000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2009,2008,MTL_FND_COMP,0,2009-03-31,USD,6113000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2009,2008,MTL_FND_COMP,0,2009-03-31,INR,210000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2009,2008,MTL_FND_COMP,0,2009-03-31,USD,4000000.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,1320000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2010,2009,ASST_MGMT_COMP,0,2010-03-31,USD,29000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,55420000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2010,2009,MTL_FND_COMP,0,2010-03-31,USD,1228000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2010,2009,MTL_FND_COMP,0,2010-03-31,USD,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,55370000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2010,2009,MTL_FND_COMP,0,2010-03-31,USD,1227000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,32000000000
