DATAFLOW,AUDST,FREQ,INTL_INV_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_ECRE_CAE,2006,2005,0,2006-03-31,INR,621963800000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_ECRE_CAE,2006,2005,0,2006-03-31,USD,13943500000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_EQT_CAP_RE,2006,2005,0,2006-03-31,INR,621963800000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_EQT_CAP_RE,2006,2005,0,2006-03-31,USD,13943500000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_OC_CAE,2006,2005,0,2006-03-31,INR,87287300000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_OC_CAE,2006,2005,0,2006-03-31,USD,1956850000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_OTH_CAP,2006,2005,0,2006-03-31,INR,87287300000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_OTH_CAP,2006,2005,0,2006-03-31,USD,1956850000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_ECRE_LDI,2006,2005,0,2006-03-31,INR,2188676000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_ECRE_LDI,2006,2005,0,2006-03-31,USD,49066850000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_EQT_CAP_RE,2006,2005,0,2006-03-31,INR,2188676000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_EQT_CAP_RE,2006,2005,0,2006-03-31,USD,49066850000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_INV_RE,2006,2005,0,2006-03-31,INR,2335988900000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_INV_RE,2006,2005,0,2006-03-31,USD,52369390000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_OC_LDI,2006,2005,0,2006-03-31,INR,147312900000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_OC_LDI,2006,2005,0,2006-03-31,USD,3302540000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_OTH_CAP,2006,2005,0,2006-03-31,INR,147312900000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_OTH_CAP,2006,2005,0,2006-03-31,USD,3302540000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIR_INV_ABR,2006,2005,0,2006-03-31,INR,709251100000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIR_INV_ABR,2006,2005,0,2006-03-31,USD,15900350000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_CUR_DEP,2006,2005,0,2006-03-31,INR,1664098700000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_CUR_DEP,2006,2005,0,2006-03-31,USD,37307840000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_CUR_DEP_BANKS,2006,2005,0,2006-03-31,INR,1618340000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_CUR_DEP_BANKS,2006,2005,0,2006-03-31,USD,36282000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_CUR_DEP_MA,2006,2005,0,2006-03-31,INR,45758700000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_CUR_DEP_MA,2006,2005,0,2006-03-31,USD,1025839999.9999999
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_LN,2006,2005,0,2006-03-31,INR,3032247100000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_LN,2006,2005,0,2006-03-31,USD,67979460000.00001
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_LN_BANKS,2006,2005,0,2006-03-31,INR,66780000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_LN_BANKS,2006,2005,0,2006-03-31,USD,1497000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_LN_BANKS_LT,2006,2005,0,2006-03-31,INR,66780000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_LN_BANKS_LT,2006,2005,0,2006-03-31,USD,1497000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_LN_GG,2006,2005,0,2006-03-31,INR,1975770000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_LN_GG,2006,2005,0,2006-03-31,USD,44294000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_LI_OI_LN_GG_LT,2006,2005,0,2006-03-31,INR,1975770000000
