DATAFLOW,AUDST,FREQ,INTER_INVS_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_DI,2019,2018,0,2018-06-30,INR,11035605600000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_DI,2019,2018,0,2018-06-30,USD,160926830000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_DI_DBT_BFE,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_DI_DBT_BFE_CPU_DS,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_DI_DBT_BFE_CPU_DS_BFE,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_DI_DBT_INS,2019,2018,0,2018-06-30,INR,3729467700000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_DI_DBT_INS,2019,2018,0,2018-06-30,USD,54385000000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_DI_DBT_INS_DRT_INV_DIE,2019,2018,0,2018-06-30,INR,3729467700000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_DI_DBT_INS_DRT_INV_DIE,2019,2018,0,2018-06-30,USD,54385000000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_DI_EIFS,2019,2018,0,2018-06-30,INR,7306138000000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_DI_EIFS,2019,2018,0,2018-06-30,USD,106541830000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_DI_EIFS_BFE,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_DI_EIFS_DRT_INV_DIE,2019,2018,0,2018-06-30,INR,7306138000000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_DI_EIFS_DRT_INV_DIE,2019,2018,0,2018-06-30,USD,106541830000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_FD_OTR_ESO,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_FD_OTR_ESO_OS,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_FD_OTR_ESO_OS_FD_OTR,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_NET_IIP,2019,2018,0,2018-06-30,INR,-28006256500000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_NET_IIP,2019,2018,0,2018-06-30,USD,-407554060000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CD_CB,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CD_CB,2019,2018,0,2018-06-30,USD,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CD_CB_MAWR,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CD_DTCECB,2019,2018,0,2018-06-30,INR,951871200000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_CD_DTCECB,2019,2018,0,2018-06-30,USD,13880670000
