DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_FD_OVRS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2026-03-31,USD,586315290.493
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2026-03-31,USD,3374597134.957
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2026-03-31,USD,35513504.89
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2026-03-31,USD,2752768339.574
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2026-02-28,USD,-33242197.532
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2026-02-28,USD,-191100500.966
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2026-02-28,USD,332321982.807
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2026-02-28,USD,556664681.305
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2026-01-31,USD,313958375.324
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2026-01-31,USD,-497152389.429
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2026-01-31,USD,-1097517303.435
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2026-01-31,USD,286406538.682
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2025-12-31,USD,1985631327.7
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2025-12-31,USD,178988011.2
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2025-12-31,USD,1002216167
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2025-12-31,USD,804427149.5
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2025-11-30,USD,305097819.4
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2025-11-30,USD,269154839.8
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2025-11-30,USD,263596497.4
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2025-11-30,USD,837849156.6
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2025-10-31,USD,751118409.8
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2025-10-31,USD,657505189.1
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2025-10-31,USD,903315462.4
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2025-10-31,USD,2311939061.3
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2025-09-30,USD,69976257.87
