DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_FD_OVRS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2026-01-31,USD,33753634570
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2026-01-31,USD,33192564960
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2026-01-31,USD,98929564820
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2026-01-31,USD,165875764350
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2025-12-31,USD,34851151870
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2025-12-31,USD,169274121380
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2025-12-31,USD,100789277700
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2025-12-31,USD,33633691810
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2025-11-30,USD,34672163860
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2025-11-30,USD,32798847990
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2025-11-30,USD,167973046050
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2025-11-30,USD,100502034200
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2025-10-31,USD,34403009020
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2025-10-31,USD,101025305700
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2025-10-31,USD,32805402230
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2025-10-31,USD,168233716950
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2025-09-30,USD,165927707920
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2025-09-30,USD,33499693560
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2025-09-30,USD,32150430960
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2025-09-30,USD,100277583400
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2025-08-31,USD,101203719600
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2025-08-31,USD,166805065380
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2025-08-31,USD,33429717300
