DATAFLOW,AUDST,FREQ,NRI_DEP_OS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2025,2024,0,2025-03-31,INR,14093295401044.04
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2025,2024,0,2025-03-31,USD,31134941205.28
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2025,2024,0,2025-03-31,INR,8620847517501.319
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2025,2024,0,2025-03-31,USD,100732723670.112
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2025,2024,0,2025-03-31,USD,164677084051.489
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2025,2024,0,2025-03-31,USD,32809419176.097
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2025,2024,0,2025-03-31,INR,2807876026277.1997
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2025,2024,0,2025-03-31,INR,2664571857265.52
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2024,2023,0,2024-03-31,INR,12662718024000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2024,2023,0,2024-03-31,INR,8222636671000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2024,2023,0,2024-03-31,INR,2294593686000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2024,2023,0,2024-03-31,USD,98623630069
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2024,2023,0,2024-03-31,INR,2145487667000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2024,2023,0,2024-03-31,USD,27521726655
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2024,2023,0,2024-03-31,USD,151878681745
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2024,2023,0,2024-03-31,USD,25733325021
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2023,2022,0,2023-03-31,USD,138878732755
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2023,2022,0,2023-03-31,INR,1948424604000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2023,2022,0,2023-03-31,USD,95816837962
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2023,2022,0,2023-03-31,INR,1591990894000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2023,2022,0,2023-03-31,USD,23698589998
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2023,2022,0,2023-03-31,INR,11418178883000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2023,2022,0,2023-03-31,USD,19363304795
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2023,2022,0,2023-03-31,INR,7877763385000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2022,2021,0,2022-03-31,USD,16918123699
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2022,2021,0,2022-03-31,INR,10590414806000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2022,2021,0,2022-03-31,INR,7678814980000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2022,2021,0,2022-03-31,INR,1288790519000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2022,2021,0,2022-03-31,USD,100800820445
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2022,2021,0,2022-03-31,INR,1622809307000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2022,2021,0,2022-03-31,USD,139021776677
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2022,2021,0,2022-03-31,USD,21302832533
