DATAFLOW,AUDST,FREQ,MOD_OUTW_REMT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2026,2025,0,2025-12-31,USD,201300000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2026,2025,0,2025-12-31,USD,7890000.0
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2026,2025,0,2025-12-31,USD,2263670000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2026,2025,0,2025-12-31,USD,165880000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2026,2025,0,2025-12-31,USD,890000.0
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2026,2025,0,2025-12-31,USD,218140000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2026,2025,0,2025-12-31,USD,262700000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2026,2025,0,2025-12-31,USD,54600000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2026,2025,0,2025-12-31,USD,4200000.0
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2026,2025,0,2025-12-31,USD,47900000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2026,2025,0,2025-12-31,USD,1300170000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2026,2025,0,2025-11-30,USD,810000.0
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2026,2025,0,2025-11-30,USD,4700000.0
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2026,2025,0,2025-11-30,USD,174040000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2026,2025,0,2025-11-30,USD,1101460000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2026,2025,0,2025-11-30,USD,46710000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2026,2025,0,2025-11-30,USD,120940000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2026,2025,0,2025-11-30,USD,38800000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2026,2025,0,2025-11-30,USD,194330000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2026,2025,0,2025-11-30,USD,7150000.0
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2026,2025,0,2025-11-30,USD,1937190000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2026,2025,0,2025-11-30,USD,248250000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2026,2025,0,2025-10-31,USD,44640000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2026,2025,0,2025-10-31,USD,47160000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2026,2025,0,2025-10-31,USD,197530000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2026,2025,0,2025-10-31,USD,163260000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2026,2025,0,2025-10-31,USD,5040000.0
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2026,2025,0,2025-10-31,USD,6400000.0
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2026,2025,0,2025-10-31,USD,273860000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2026,2025,0,2025-10-31,USD,870000.0
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2026,2025,0,2025-10-31,USD,273090000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2026,2025,0,2025-10-31,USD,1352590000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2026,2025,0,2025-10-31,USD,2364440000
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2026,2025,0,2025-09-30,USD,50753849.15
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2026,2025,0,2025-09-30,USD,637463.14
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2026,2025,0,2025-09-30,USD,264339258.27
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2026,2025,0,2025-09-30,USD,1664816963.65
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2026,2025,0,2025-09-30,USD,195089217.65
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2026,2025,0,2025-09-30,USD,42443946.27
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2026,2025,0,2025-09-30,USD,4175132.15
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2026,2025,0,2025-09-30,USD,7627537.17
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2026,2025,0,2025-09-30,USD,278803993.43
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2026,2025,0,2025-09-30,USD,273649173.73
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2026,2025,0,2025-09-30,USD,2782336534.61
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2026,2025,0,2025-08-31,USD,782268.54
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2026,2025,0,2025-08-31,USD,1618807412.61
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2026,2025,0,2025-08-31,USD,2642908870.41
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2026,2025,0,2025-08-31,USD,272054072.6
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2026,2025,0,2025-08-31,USD,42754259.1
