DATAFLOW,AUDST,CAT_BOP_IND,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,1986,1985,0,1986-03-31,PT,-2.09276
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,1986,1985,0,1986-03-31,PT,76.56008
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,1986,1985,0,1986-03-31,PT,6.83542
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,1986,1985,0,1986-03-31,PT,4.06817
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,1986,1985,0,1986-03-31,PT,0.0
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,1986,1985,0,1986-03-31,PT,0.0
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,1986,1985,0,1986-03-31,PT,7.43655
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,1986,1985,0,1986-03-31,PT,1.27559
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,1986,1985,0,1986-03-31,PT,1.49162
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,1986,1985,0,1986-03-31,PT,2.76721
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,1986,1985,0,1986-03-31,PT,4.5
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,1987,1986,0,1987-03-31,PT,-1.83004
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,1987,1986,0,1987-03-31,PT,78.73764
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,1987,1986,0,1987-03-31,PT,6.7769
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,1987,1986,0,1987-03-31,PT,4.17957
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,1987,1986,0,1987-03-31,PT,1.9
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,1987,1986,0,1987-03-31,PT,0.1
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,1987,1986,0,1987-03-31,PT,7.11578
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,1987,1986,0,1987-03-31,PT,1.10617
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,1987,1986,0,1987-03-31,PT,1.49116
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,1987,1986,0,1987-03-31,PT,2.59733
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,1987,1986,0,1987-03-31,PT,4.4
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,1988,1987,0,1988-03-31,PT,-1.7386
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,1988,1987,0,1988-03-31,PT,80.31569
