DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_OF_COM_TRD,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL,0,2025-12-01,USD,14401299273
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL,0,2025-12-01,INR,1297431773060
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-12-01,USD,49149238159
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-12-01,INR,376887690393
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-12-01,USD,63550537432
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-12-01,USD,4183397180
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-12-01,INR,3072971475231
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-12-01,USD,34109525300
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-12-01,INR,4427918763836
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_EXP,0,2025-12-01,INR,3449859165624
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-12-01,INR,5725350536896
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_EXP,0,2025-12-01,USD,38292922480
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-11-01,USD,3706586317
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-11-01,INR,4314578286826
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL,0,2025-11-01,INR,1253724315185
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-11-01,USD,62688038126
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_EXP,0,2025-11-01,USD,37903575175
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL1,0,2025-11-01,INR,329239753996
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-11-01,USD,34196988858
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-11-01,INR,5568302602011
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-11-01,USD,48573590092
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_OIL,0,2025-11-01,USD,14114448034
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_EXP,0,2025-11-01,INR,3366807805794
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL1,0,2025-11-01,INR,3037568051798
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,COMM_NON_OIL,0,2025-10-01,INR,5420008563885
RBI:BCCI_MER_TRD_RN(1.0),N_A,M,2026,2025,TERM_TRD_IMP,0,2025-10-01,USD,76089873476
